cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-16T14:59:38.364,2026-07-16T14:59:38.801,4.5,7.5,612000,6000,200,1000,70.4435,-1.23254,0,False,-0.878501,0,0,not_open,未达到开窗剂量,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-16T14:59:39.431,2026-07-16T14:59:39.858,4.5,7.5,612000,6000,200,1000,71.4178,-0.27004,0,False,-0.268282,0,0,not_open,未达到开窗剂量,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-16T14:59:40.468,2026-07-16T14:59:40.903,4.5,7.5,612000,6000,200,1000,67.9941,1.13947,0,False,-0.386745,0,0,not_open,未达到开窗剂量,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-16T14:59:41.534,2026-07-16T14:59:41.976,4.5,7.5,612000,6000,200,1000,67.9925,0.818965,0,False,0.252433,0,0,not_open,未达到开窗剂量,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-16T14:59:42.543,2026-07-16T14:59:42.970,4.5,7.5,612000,6000,200,1000,73.9021,-0.533443,0,False,0.158581,0,0,not_open,未达到开窗剂量,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-16T14:59:43.580,2026-07-16T14:59:44.021,4.5,7.5,612000,6000,200,1000,72.0831,-0.743193,0,False,-1.05877,0,0,not_open,未达到开窗剂量,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-16T14:59:44.635,2026-07-16T14:59:45.075,4.5,7.5,612000,6000,200,1000,73.1349,-0.539858,0,False,-0.00823067,0,0,not_open,未达到开窗剂量,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-16T14:59:45.694,2026-07-16T14:59:46.117,4.5,7.5,612000,6000,200,1000,72.7386,-1.47363,0,False,-0.0702855,0,0,not_open,未达到开窗剂量,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-16T14:59:46.748,2026-07-16T14:59:47.191,4.5,7.5,612000,6000,200,1000,70.7928,-0.324925,0,False,-0.0544134,0,0,not_open,未达到开窗剂量,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-16T14:59:47.754,2026-07-16T14:59:48.180,4.5,7.5,612000,6000,200,1000,71.8424,-1.10854,0,False,0.0483676,0,0,not_open,未达到开窗剂量,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-16T14:59:48.795,2026-07-16T14:59:49.204,4.5,7.5,612000,6000,200,1000,73.7197,0.211732,1,False,-0.734197,0,0,not_open,未达到开窗剂量,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-16T14:59:49.816,2026-07-16T14:59:50.256,4.5,7.5,612000,6000,200,1000,69.2371,-1.10555,0,False,0.557591,0,0,not_open,未达到开窗剂量,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-16T14:59:50.882,2026-07-16T14:59:51.321,4.5,7.5,612000,6000,200,1000,70.6851,-0.12173,1,False,-0.14092,0,0,not_open,未达到开窗剂量,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-16T14:59:51.888,2026-07-16T14:59:52.333,4.5,7.5,612000,6000,200,1000,68.7175,-0.57766,0,False,0.944881,0,0,not_open,未达到开窗剂量,
