cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-16T15:54:06.498,2026-07-16T15:54:06.921,3,7,612000,6000,200,1000,52.349,-2.61407,0,False,-4.12854,0,0,not_open,未达到开窗剂量,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-16T15:54:07.584,2026-07-16T15:54:08.039,3,7,612000,6000,200,1000,59.5626,-3.26018,0,False,-4.17299,0,0,not_open,未达到开窗剂量,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-16T15:54:08.590,2026-07-16T15:54:09.044,3,7,612000,6000,200,1000,52.6993,-1.63673,0,False,-2.68645,0,0,not_open,未达到开窗剂量,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-16T15:54:09.609,2026-07-16T15:54:10.034,3,7,612000,6000,200,1000,55.2546,-4.92877,0,False,-3.58392,0,0,not_open,未达到开窗剂量,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-16T15:54:10.667,2026-07-16T15:54:11.136,3,7,612000,6000,200,1000,56.7916,0.194436,0,False,-3.53492,0,0,not_open,未达到开窗剂量,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-16T15:54:11.714,2026-07-16T15:54:12.171,3,7,612000,6000,200,1000,55.9965,3.18285,2,False,-3.25052,0,0,not_open,未达到开窗剂量,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-16T15:54:12.756,2026-07-16T15:54:13.214,3,7,612000,6000,200,1000,52.1672,-0.209881,0,False,-3.24481,0,0,not_open,未达到开窗剂量,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-16T15:54:13.795,2026-07-16T15:54:14.253,3,7,612000,6000,200,1000,48.6242,3.65605,1,False,-2.76706,0,0,not_open,未达到开窗剂量,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-16T15:54:14.823,2026-07-16T15:54:15.260,3,7,612000,6000,200,1000,54.4539,3.48016,1,False,-3.1386,0,0,not_open,未达到开窗剂量,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-16T15:54:15.811,2026-07-16T15:54:16.251,3,7,612000,6000,200,1000,57.0697,1.04618,1,False,-2.65765,0,0,not_open,未达到开窗剂量,
