sample_index,raw_code,voltage_mV,sample_rate_hz
0,2044,-1.953125,25000000.000
1,2047,-0.488281,25000000.000
2,2046,-0.976562,25000000.000
3,2045,-1.464844,25000000.000
4,2047,-0.488281,25000000.000
5,2047,-0.488281,25000000.000
6,2046,-0.976562,25000000.000
7,2048,0.000000,25000000.000
8,2047,-0.488281,25000000.000
9,2046,-0.976562,25000000.000
10,2049,0.488281,25000000.000
11,2048,0.000000,25000000.000
12,2046,-0.976562,25000000.000
13,2046,-0.976562,25000000.000
14,2046,-0.976562,25000000.000
15,2045,-1.464844,25000000.000
16,2046,-0.976562,25000000.000
17,2048,0.000000,25000000.000
18,2047,-0.488281,25000000.000
19,2046,-0.976562,25000000.000
20,2046,-0.976562,25000000.000
21,2048,0.000000,25000000.000
22,2046,-0.976562,25000000.000
23,2047,-0.488281,25000000.000
24,2044,-1.953125,25000000.000
25,2047,-0.488281,25000000.000
26,2050,0.976562,25000000.000
27,2052,1.953125,25000000.000
28,2048,0.000000,25000000.000
29,2049,0.488281,25000000.000
30,2044,-1.953125,25000000.000
31,2042,-2.929688,25000000.000
32,2050,0.976562,25000000.000
33,2045,-1.464844,25000000.000
34,2047,-0.488281,25000000.000
35,2046,-0.976562,25000000.000
36,2047,-0.488281,25000000.000
37,2047,-0.488281,25000000.000
38,2045,-1.464844,25000000.000
39,2044,-1.953125,25000000.000
40,2045,-1.464844,25000000.000
41,2047,-0.488281,25000000.000
42,2048,0.000000,25000000.000
43,2047,-0.488281,25000000.000
44,2048,0.000000,25000000.000
45,2046,-0.976562,25000000.000
46,2047,-0.488281,25000000.000
47,2046,-0.976562,25000000.000
48,2048,0.000000,25000000.000
49,2046,-0.976562,25000000.000
50,2046,-0.976562,25000000.000
51,2046,-0.976562,25000000.000
52,2047,-0.488281,25000000.000
53,2048,0.000000,25000000.000
54,2045,-1.464844,25000000.000
55,2046,-0.976562,25000000.000
56,2044,-1.953125,25000000.000
57,2048,0.000000,25000000.000
58,2047,-0.488281,25000000.000
59,2047,-0.488281,25000000.000
60,2048,0.000000,25000000.000
61,2047,-0.488281,25000000.000
62,2047,-0.488281,25000000.000
63,2047,-0.488281,25000000.000
64,2047,-0.488281,25000000.000
65,2046,-0.976562,25000000.000
66,2047,-0.488281,25000000.000
67,2045,-1.464844,25000000.000
68,2046,-0.976562,25000000.000
69,2047,-0.488281,25000000.000
70,2045,-1.464844,25000000.000
71,2046,-0.976562,25000000.000
72,2045,-1.464844,25000000.000
73,2047,-0.488281,25000000.000
74,2044,-1.953125,25000000.000
75,2048,0.000000,25000000.000
76,2046,-0.976562,25000000.000
77,2046,-0.976562,25000000.000
78,2045,-1.464844,25000000.000
79,2046,-0.976562,25000000.000
80,2048,0.000000,25000000.000
81,2044,-1.953125,25000000.000
82,2046,-0.976562,25000000.000
83,2044,-1.953125,25000000.000
84,2047,-0.488281,25000000.000
85,2047,-0.488281,25000000.000
86,2047,-0.488281,25000000.000
87,2047,-0.488281,25000000.000
88,2047,-0.488281,25000000.000
89,2049,0.488281,25000000.000
90,2047,-0.488281,25000000.000
91,2049,0.488281,25000000.000
92,2048,0.000000,25000000.000
93,2048,0.000000,25000000.000
94,2051,1.464844,25000000.000
95,2052,1.953125,25000000.000
96,2050,0.976562,25000000.000
97,2050,0.976562,25000000.000
98,2051,1.464844,25000000.000
99,2051,1.464844,25000000.000
100,2051,1.464844,25000000.000
101,2051,1.464844,25000000.000
102,2051,1.464844,25000000.000
103,2049,0.488281,25000000.000
104,2050,0.976562,25000000.000
105,2052,1.953125,25000000.000
106,2051,1.464844,25000000.000
107,2052,1.953125,25000000.000
108,2052,1.953125,25000000.000
109,2051,1.464844,25000000.000
110,2054,2.929688,25000000.000
111,2053,2.441406,25000000.000
112,2052,1.953125,25000000.000
113,2050,0.976562,25000000.000
114,2053,2.441406,25000000.000
115,2051,1.464844,25000000.000
116,2051,1.464844,25000000.000
117,2052,1.953125,25000000.000
118,2050,0.976562,25000000.000
119,2050,0.976562,25000000.000
120,2050,0.976562,25000000.000
121,2050,0.976562,25000000.000
122,2047,-0.488281,25000000.000
123,2050,0.976562,25000000.000
124,2048,0.000000,25000000.000
125,2047,-0.488281,25000000.000
126,2048,0.000000,25000000.000
127,2049,0.488281,25000000.000
128,2048,0.000000,25000000.000
129,2048,0.000000,25000000.000
130,2049,0.488281,25000000.000
131,2048,0.000000,25000000.000
132,2048,0.000000,25000000.000
133,2048,0.000000,25000000.000
134,2047,-0.488281,25000000.000
135,2046,-0.976562,25000000.000
136,2048,0.000000,25000000.000
137,2049,0.488281,25000000.000
138,2048,0.000000,25000000.000
139,2047,-0.488281,25000000.000
140,2048,0.000000,25000000.000
141,2049,0.488281,25000000.000
142,2050,0.976562,25000000.000
143,2050,0.976562,25000000.000
144,2052,1.953125,25000000.000
145,2048,0.000000,25000000.000
146,2049,0.488281,25000000.000
147,2049,0.488281,25000000.000
148,2049,0.488281,25000000.000
149,2045,-1.464844,25000000.000
150,2047,-0.488281,25000000.000
151,2046,-0.976562,25000000.000
152,2044,-1.953125,25000000.000
153,2046,-0.976562,25000000.000
154,2043,-2.441406,25000000.000
155,2044,-1.953125,25000000.000
156,2042,-2.929688,25000000.000
157,2042,-2.929688,25000000.000
158,2042,-2.929688,25000000.000
159,2042,-2.929688,25000000.000
160,2040,-3.906250,25000000.000
161,2041,-3.417969,25000000.000
162,2039,-4.394531,25000000.000
163,2040,-3.906250,25000000.000
164,2040,-3.906250,25000000.000
165,2039,-4.394531,25000000.000
166,2040,-3.906250,25000000.000
167,2039,-4.394531,25000000.000
168,2040,-3.906250,25000000.000
169,2043,-2.441406,25000000.000
170,2041,-3.417969,25000000.000
171,2041,-3.417969,25000000.000
172,2043,-2.441406,25000000.000
173,2046,-0.976562,25000000.000
174,2046,-0.976562,25000000.000
175,2047,-0.488281,25000000.000
176,2049,0.488281,25000000.000
177,2050,0.976562,25000000.000
178,2050,0.976562,25000000.000
179,2050,0.976562,25000000.000
180,2054,2.929688,25000000.000
181,2052,1.953125,25000000.000
182,2054,2.929688,25000000.000
183,2054,2.929688,25000000.000
184,2056,3.906250,25000000.000
185,2056,3.906250,25000000.000
186,2056,3.906250,25000000.000
187,2054,2.929688,25000000.000
188,2054,2.929688,25000000.000
189,2056,3.906250,25000000.000
190,2053,2.441406,25000000.000
191,2054,2.929688,25000000.000
192,2053,2.441406,25000000.000
193,2049,0.488281,25000000.000
194,2050,0.976562,25000000.000
195,2049,0.488281,25000000.000
196,2047,-0.488281,25000000.000
197,2043,-2.441406,25000000.000
198,2044,-1.953125,25000000.000
199,2041,-3.417969,25000000.000
200,2040,-3.906250,25000000.000
201,2038,-4.882812,25000000.000
202,2037,-5.371094,25000000.000
203,2036,-5.859375,25000000.000
204,2033,-7.324219,25000000.000
205,2035,-6.347656,25000000.000
206,2032,-7.812500,25000000.000
207,2033,-7.324219,25000000.000
208,2034,-6.835938,25000000.000
209,2032,-7.812500,25000000.000
210,2035,-6.347656,25000000.000
211,2036,-5.859375,25000000.000
212,2036,-5.859375,25000000.000
213,2037,-5.371094,25000000.000
214,2041,-3.417969,25000000.000
215,2039,-4.394531,25000000.000
216,2065,8.300781,25000000.000
217,2046,-0.976562,25000000.000
218,2048,0.000000,25000000.000
219,2053,2.441406,25000000.000
220,2055,3.417969,25000000.000
221,2052,1.953125,25000000.000
222,2055,3.417969,25000000.000
223,2059,5.371094,25000000.000
224,2057,4.394531,25000000.000
225,2058,4.882812,25000000.000
226,2059,5.371094,25000000.000
227,2058,4.882812,25000000.000
228,2058,4.882812,25000000.000
229,2057,4.394531,25000000.000
230,2060,5.859375,25000000.000
231,2057,4.394531,25000000.000
232,2056,3.906250,25000000.000
233,2054,2.929688,25000000.000
234,2052,1.953125,25000000.000
235,2051,1.464844,25000000.000
236,2048,0.000000,25000000.000
237,2047,-0.488281,25000000.000
238,2042,-2.929688,25000000.000
239,2044,-1.953125,25000000.000
240,2038,-4.882812,25000000.000
241,2036,-5.859375,25000000.000
242,2033,-7.324219,25000000.000
243,2035,-6.347656,25000000.000
244,2031,-8.300781,25000000.000
245,2028,-9.765625,25000000.000
246,2028,-9.765625,25000000.000
247,2028,-9.765625,25000000.000
248,2027,-10.253906,25000000.000
249,2024,-11.718750,25000000.000
250,2026,-10.742188,25000000.000
251,2024,-11.718750,25000000.000
252,2024,-11.718750,25000000.000
253,2026,-10.742188,25000000.000
254,2025,-11.230469,25000000.000
255,2027,-10.253906,25000000.000
256,2030,-8.789062,25000000.000
257,2032,-7.812500,25000000.000
258,2036,-5.859375,25000000.000
259,2037,-5.371094,25000000.000
260,2041,-3.417969,25000000.000
261,2041,-3.417969,25000000.000
262,2046,-0.976562,25000000.000
263,2045,-1.464844,25000000.000
264,2049,0.488281,25000000.000
265,2050,0.976562,25000000.000
266,2054,2.929688,25000000.000
267,2052,1.953125,25000000.000
268,2055,3.417969,25000000.000
269,2058,4.882812,25000000.000
270,2057,4.394531,25000000.000
271,2059,5.371094,25000000.000
272,2056,3.906250,25000000.000
273,2058,4.882812,25000000.000
274,2056,3.906250,25000000.000
275,2057,4.394531,25000000.000
276,2052,1.953125,25000000.000
277,2054,2.929688,25000000.000
278,2052,1.953125,25000000.000
279,2052,1.953125,25000000.000
280,2049,0.488281,25000000.000
281,2046,-0.976562,25000000.000
282,2045,-1.464844,25000000.000
283,2044,-1.953125,25000000.000
284,2040,-3.906250,25000000.000
285,2042,-2.929688,25000000.000
286,2037,-5.371094,25000000.000
287,2038,-4.882812,25000000.000
288,2033,-7.324219,25000000.000
289,2035,-6.347656,25000000.000
290,2032,-7.812500,25000000.000
291,2036,-5.859375,25000000.000
292,2034,-6.835938,25000000.000
293,2036,-5.859375,25000000.000
294,2035,-6.347656,25000000.000
295,2036,-5.859375,25000000.000
296,2040,-3.906250,25000000.000
297,2040,-3.906250,25000000.000
298,2042,-2.929688,25000000.000
299,2041,-3.417969,25000000.000
300,2047,-0.488281,25000000.000
301,2050,0.976562,25000000.000
302,2052,1.953125,25000000.000
303,2053,2.441406,25000000.000
304,2056,3.906250,25000000.000
305,2061,6.347656,25000000.000
306,2061,6.347656,25000000.000
307,2063,7.324219,25000000.000
308,2065,8.300781,25000000.000
309,2063,7.324219,25000000.000
310,2063,7.324219,25000000.000
311,2064,7.812500,25000000.000
312,2059,5.371094,25000000.000
313,2055,3.417969,25000000.000
314,2053,2.441406,25000000.000
315,2051,1.464844,25000000.000
316,2042,-2.929688,25000000.000
317,2039,-4.394531,25000000.000
318,2029,-9.277344,25000000.000
319,2029,-9.277344,25000000.000
320,2023,-12.207031,25000000.000
321,2020,-13.671875,25000000.000
322,2013,-17.089844,25000000.000
323,2015,-16.113281,25000000.000
324,2010,-18.554688,25000000.000
325,2010,-18.554688,25000000.000
326,2012,-17.578125,25000000.000
327,2012,-17.578125,25000000.000
328,2019,-14.160156,25000000.000
329,2024,-11.718750,25000000.000
330,2034,-6.835938,25000000.000
331,2033,-7.324219,25000000.000
332,2050,0.976562,25000000.000
333,2062,6.835938,25000000.000
334,2074,12.695312,25000000.000
335,2073,12.207031,25000000.000
336,2095,22.949219,25000000.000
337,2106,28.320312,25000000.000
338,2115,32.714844,25000000.000
339,2117,33.691406,25000000.000
340,2125,37.597656,25000000.000
341,2137,43.457031,25000000.000
342,2143,46.386719,25000000.000
343,2146,47.851562,25000000.000
344,2151,50.292969,25000000.000
345,2150,49.804688,25000000.000
346,2147,48.339844,25000000.000
347,2145,47.363281,25000000.000
348,2134,41.992188,25000000.000
349,2126,38.085938,25000000.000
350,2113,31.738281,25000000.000
351,2112,31.250000,25000000.000
352,2089,20.019531,25000000.000
353,2076,13.671875,25000000.000
354,2058,4.882812,25000000.000
355,2057,4.394531,25000000.000
356,2028,-9.765625,25000000.000
357,2016,-15.625000,25000000.000
358,2002,-22.460938,25000000.000
359,1999,-23.925781,25000000.000
360,1976,-35.156250,25000000.000
361,1963,-41.503906,25000000.000
362,1956,-44.921875,25000000.000
363,1955,-45.410156,25000000.000
364,1946,-49.804688,25000000.000
365,1941,-52.246094,25000000.000
366,1943,-51.269531,25000000.000
367,1942,-51.757812,25000000.000
368,1950,-47.851562,25000000.000
369,1956,-44.921875,25000000.000
370,1963,-41.503906,25000000.000
371,1964,-41.015625,25000000.000
372,1984,-31.250000,25000000.000
373,1998,-24.414062,25000000.000
374,2011,-18.066406,25000000.000
375,2013,-17.089844,25000000.000
376,2038,-4.882812,25000000.000
377,2050,0.976562,25000000.000
378,2065,8.300781,25000000.000
379,2067,9.277344,25000000.000
380,2092,21.484375,25000000.000
381,2102,26.367188,25000000.000
382,2112,31.250000,25000000.000
383,2113,31.738281,25000000.000
384,2128,39.062500,25000000.000
385,2133,41.503906,25000000.000
386,2133,41.503906,25000000.000
387,2134,41.992188,25000000.000
388,2130,40.039062,25000000.000
389,2129,39.550781,25000000.000
390,2121,35.644531,25000000.000
391,2120,35.156250,25000000.000
392,2104,27.343750,25000000.000
393,2096,23.437500,25000000.000
394,2086,18.554688,25000000.000
395,2084,17.578125,25000000.000
396,2060,5.859375,25000000.000
397,2047,-0.488281,25000000.000
398,2036,-5.859375,25000000.000
399,2034,-6.835938,25000000.000
400,2015,-16.113281,25000000.000
401,1999,-23.925781,25000000.000
402,1992,-27.343750,25000000.000
403,1989,-28.808594,25000000.000
404,1974,-36.132812,25000000.000
405,1976,-35.156250,25000000.000
406,1976,-35.156250,25000000.000
407,1979,-33.691406,25000000.000
408,1972,-37.109375,25000000.000
409,1976,-35.156250,25000000.000
410,1980,-33.203125,25000000.000
411,1982,-32.226562,25000000.000
412,1992,-27.343750,25000000.000
413,2000,-23.437500,25000000.000
414,2012,-17.578125,25000000.000
415,2011,-18.066406,25000000.000
416,2031,-8.300781,25000000.000
417,2040,-3.906250,25000000.000
418,2050,0.976562,25000000.000
419,2051,1.464844,25000000.000
420,2070,10.742188,25000000.000
421,2080,15.625000,25000000.000
422,2086,18.554688,25000000.000
423,2090,20.507812,25000000.000
424,2101,25.878906,25000000.000
425,2105,27.832031,25000000.000
426,2111,30.761719,25000000.000
427,2111,30.761719,25000000.000
428,2112,31.250000,25000000.000
429,2112,31.250000,25000000.000
430,2109,29.785156,25000000.000
431,2110,30.273438,25000000.000
432,2102,26.367188,25000000.000
433,2097,23.925781,25000000.000
434,2089,20.019531,25000000.000
435,2089,20.019531,25000000.000
436,2074,12.695312,25000000.000
437,2067,9.277344,25000000.000
438,2055,3.417969,25000000.000
439,2055,3.417969,25000000.000
440,2039,-4.394531,25000000.000
441,2030,-8.789062,25000000.000
442,2022,-12.695312,25000000.000
443,2023,-12.207031,25000000.000
444,2010,-18.554688,25000000.000
445,2003,-21.972656,25000000.000
446,2000,-23.437500,25000000.000
447,1997,-24.902344,25000000.000
448,1997,-24.902344,25000000.000
449,1994,-26.367188,25000000.000
450,1997,-24.902344,25000000.000
451,1996,-25.390625,25000000.000
452,2001,-22.949219,25000000.000
453,2007,-20.019531,25000000.000
454,2010,-18.554688,25000000.000
455,2012,-17.578125,25000000.000
456,2022,-12.695312,25000000.000
457,2028,-9.765625,25000000.000
458,2034,-6.835938,25000000.000
459,2035,-6.347656,25000000.000
460,2047,-0.488281,25000000.000
461,2054,2.929688,25000000.000
462,2060,5.859375,25000000.000
463,2061,6.347656,25000000.000
464,2070,10.742188,25000000.000
465,2074,12.695312,25000000.000
466,2077,14.160156,25000000.000
467,2077,14.160156,25000000.000
468,2082,16.601562,25000000.000
469,2083,17.089844,25000000.000
470,2083,17.089844,25000000.000
471,2083,17.089844,25000000.000
472,2078,14.648438,25000000.000
473,2076,13.671875,25000000.000
474,2071,11.230469,25000000.000
475,2072,11.718750,25000000.000
476,2061,6.347656,25000000.000
477,2057,4.394531,25000000.000
478,2051,1.464844,25000000.000
479,2049,0.488281,25000000.000
480,2039,-4.394531,25000000.000
481,2030,-8.789062,25000000.000
482,2025,-11.230469,25000000.000
483,2026,-10.742188,25000000.000
484,2016,-15.625000,25000000.000
485,2013,-17.089844,25000000.000
486,2008,-19.531250,25000000.000
487,2010,-18.554688,25000000.000
488,2004,-21.484375,25000000.000
489,2005,-20.996094,25000000.000
490,2004,-21.484375,25000000.000
491,2007,-20.019531,25000000.000
