cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-16T15:58:25.276,2026-07-16T15:58:25.717,3,7,612000,6000,200,1000,56.3612,5.52074,2,False,-2.69686,0,0,not_open,未达到开窗剂量,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-16T15:58:26.342,2026-07-16T15:58:26.767,3,7,612000,6000,200,1000,53.5196,12.9708,2,False,-2.19429,0,0,not_open,未达到开窗剂量,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-16T15:58:27.427,2026-07-16T15:58:27.865,3,7,612000,6000,200,1000,54.7592,12.1581,2,False,-3.5176,0,0,not_open,未达到开窗剂量,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-16T15:58:28.429,2026-07-16T15:58:28.872,3,7,612000,6000,200,1000,54.404,14.4011,3,True,-2.87693,25.5541,25.5541,not_open,未达到开窗剂量,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-16T15:58:29.438,2026-07-16T15:58:29.877,3,7,612000,6000,200,1000,55.5681,11.5594,2,False,-3.19742,0,25.5541,not_open,未达到开窗剂量,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-16T15:58:30.443,2026-07-16T15:58:30.885,3,7,612000,6000,200,1000,54.385,4.16872,1,False,-3.8226,0,25.5541,not_open,未达到开窗剂量,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-16T15:58:31.450,2026-07-16T15:58:31.889,3,7,612000,6000,200,1000,54.9132,2.69627,1,False,-2.11533,0,25.5541,not_open,未达到开窗剂量,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-16T15:58:32.454,2026-07-16T15:58:32.881,3,7,612000,6000,200,1000,55.4205,2.30762,1,False,-2.30627,0,25.5541,not_open,未达到开窗剂量,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-16T15:58:33.511,2026-07-16T15:58:33.926,3,7,612000,6000,200,1000,54.7772,1.37249,1,False,-2.48071,0,25.5541,not_open,未达到开窗剂量,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-16T15:58:34.481,2026-07-16T15:58:34.840,3,7,612000,6000,200,1000,56.5793,8.33878,3,True,-2.37638,4.8262,30.3803,not_open,未达到开窗剂量,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-16T15:58:35.553,2026-07-16T15:58:35.994,3,7,612000,6000,200,1000,53.7405,9.42803,3,True,-2.54068,6.77076,37.1511,not_open,未达到开窗剂量,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-16T15:58:36.624,2026-07-16T15:58:37.064,3,7,612000,6000,200,1000,57.9362,8.69918,2,False,-2.64239,0,37.1511,not_open,未达到开窗剂量,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-16T15:58:37.616,2026-07-16T15:58:38.057,3,7,612000,6000,200,1000,55.5345,6.81118,2,False,-3.7208,0,37.1511,not_open,未达到开窗剂量,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-16T15:58:38.683,2026-07-16T15:58:39.118,3,7,612000,6000,200,1000,54.4505,9.73989,2,False,-4.19786,0,37.1511,not_open,未达到开窗剂量,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-16T15:58:39.685,2026-07-16T15:58:40.112,3,7,612000,6000,200,1000,57.7796,5.99116,2,False,-2.04465,0,37.1511,not_open,未达到开窗剂量,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-16T15:58:40.727,2026-07-16T15:58:41.166,3,7,612000,6000,200,1000,55.5658,7.63755,2,False,-4.14179,0,37.1511,not_open,未达到开窗剂量,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-16T15:58:41.778,2026-07-16T15:58:42.204,3,7,612000,6000,200,1000,55.9923,6.30709,2,False,-2.55229,0,37.1511,not_open,未达到开窗剂量,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-16T15:58:42.816,2026-07-16T15:58:43.259,3,7,612000,6000,200,1000,56.3699,10.2096,2,False,-3.06625,0,37.1511,not_open,未达到开窗剂量,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-16T15:58:43.885,2026-07-16T15:58:44.325,3,7,612000,6000,200,1000,56.4683,6.96111,3,True,-2.66817,2.97193,40.123,not_open,未达到开窗剂量,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-16T15:58:44.892,2026-07-16T15:58:45.316,3,7,612000,6000,200,1000,57.1077,4.07005,1,False,-3.20818,0,40.123,not_open,未达到开窗剂量,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-16T15:58:45.945,2026-07-16T15:58:46.382,3,7,612000,6000,200,1000,55.1826,5.72667,2,False,-2.8935,0,40.123,not_open,未达到开窗剂量,
22,complete,probe/cycle_000022.csv,treatment/cycle_000022.csv,2026-07-16T15:58:46.961,2026-07-16T15:58:47.404,3,7,612000,6000,200,1000,55.1153,6.53411,2,False,-2.72961,0,40.123,not_open,未达到开窗剂量,
