sample_index,raw_code,voltage_mV,sample_rate_hz
0,0,-1000.000000,25000000.000
1,30001,-351.074219,25000000.000
2,20110,819.335938,25000000.000
3,20005,768.066406,25000000.000
4,37325,-774.902344,25000000.000
5,30340,-185.546875,25000000.000
6,28909,-884.277344,25000000.000
7,20107,817.871094,25000000.000
8,20214,870.117188,25000000.000
9,65292,880.859375,25000000.000
10,31995,622.558594,25000000.000
11,32479,858.886719,25000000.000
12,24050,743.164062,25000000.000
13,20851,-818.847656,25000000.000
14,38381,-259.277344,25000000.000
15,12290,-999.023438,25000000.000
16,32,-984.375000,25000000.000
17,32,-984.375000,25000000.000
18,32,-984.375000,25000000.000
19,32,-984.375000,25000000.000
20,32,-984.375000,25000000.000
21,32,-984.375000,25000000.000
22,32,-984.375000,25000000.000
23,32,-984.375000,25000000.000
24,32,-984.375000,25000000.000
25,32,-984.375000,25000000.000
26,32,-984.375000,25000000.000
27,32,-984.375000,25000000.000
28,32,-984.375000,25000000.000
29,13,-993.652344,25000000.000
30,10,-995.117188,25000000.000
31,20851,-818.847656,25000000.000
32,38381,-259.277344,25000000.000
33,26102,-254.882812,25000000.000
34,38388,-255.859375,25000000.000
35,32,-984.375000,25000000.000
36,61,-970.214844,25000000.000
37,32,-984.375000,25000000.000
38,37,-981.933594,25000000.000
39,51,-975.097656,25000000.000
40,32,-984.375000,25000000.000
41,32,-984.375000,25000000.000
42,32,-984.375000,25000000.000
43,32,-984.375000,25000000.000
44,32,-984.375000,25000000.000
45,32,-984.375000,25000000.000
46,32,-984.375000,25000000.000
47,32,-984.375000,25000000.000
48,32,-984.375000,25000000.000
49,32,-984.375000,25000000.000
50,32,-984.375000,25000000.000
51,32,-984.375000,25000000.000
52,32,-984.375000,25000000.000
53,13,-993.652344,25000000.000
54,10,-995.117188,25000000.000
55,39640,355.468750,25000000.000
56,32423,831.542969,25000000.000
57,37197,-837.402344,25000000.000
58,32622,928.710938,25000000.000
59,21644,-431.640625,25000000.000
60,30005,-349.121094,25000000.000
61,28304,820.312500,25000000.000
62,25509,-544.433594,25000000.000
63,21475,-514.160156,25000000.000
64,28909,-884.277344,25000000.000
65,21306,-596.679688,25000000.000
66,22495,-16.113281,25000000.000
67,32,-984.375000,25000000.000
68,61,-970.214844,25000000.000
69,32,-984.375000,25000000.000
70,37,-981.933594,25000000.000
71,50,-975.585938,25000000.000
72,32,-984.375000,25000000.000
73,32,-984.375000,25000000.000
74,32,-984.375000,25000000.000
75,32,-984.375000,25000000.000
76,32,-984.375000,25000000.000
77,32,-984.375000,25000000.000
78,32,-984.375000,25000000.000
79,32,-984.375000,25000000.000
80,32,-984.375000,25000000.000
81,32,-984.375000,25000000.000
82,32,-984.375000,25000000.000
83,32,-984.375000,25000000.000
84,32,-984.375000,25000000.000
85,13,-993.652344,25000000.000
86,10,-995.117188,25000000.000
87,95,-953.613281,25000000.000
88,67,-967.285156,25000000.000
89,82,-959.960938,25000000.000
90,84,-958.984375,25000000.000
91,32,-984.375000,25000000.000
92,61,-970.214844,25000000.000
93,32,-984.375000,25000000.000
94,37,-981.933594,25000000.000
95,52,-974.609375,25000000.000
96,75,-963.378906,25000000.000
97,32,-984.375000,25000000.000
98,0,-1000.000000,25000000.000
99,77,-962.402344,25000000.000
100,105,-948.730469,25000000.000
101,99,-951.660156,25000000.000
102,114,-944.335938,25000000.000
103,111,-945.800781,25000000.000
104,115,-943.847656,25000000.000
105,111,-945.800781,25000000.000
106,102,-950.195312,25000000.000
107,116,-943.359375,25000000.000
108,45,-978.027344,25000000.000
109,87,-957.519531,25000000.000
110,105,-948.730469,25000000.000
111,110,-946.289062,25000000.000
112,100,-951.171875,25000000.000
113,111,-945.800781,25000000.000
114,119,-941.894531,25000000.000
115,115,-943.847656,25000000.000
116,45,-978.027344,25000000.000
117,75,-963.378906,25000000.000
118,101,-950.683594,25000000.000
119,114,-944.335938,25000000.000
120,110,-946.289062,25000000.000
121,101,-950.683594,25000000.000
122,108,-947.265625,25000000.000
123,45,-978.027344,25000000.000
124,80,-960.937500,25000000.000
125,111,-945.800781,25000000.000
126,119,-941.894531,25000000.000
127,101,-950.683594,25000000.000
128,114,-944.335938,25000000.000
129,32,-984.375000,25000000.000
130,0,-1000.000000,25000000.000
131,271,-867.675781,25000000.000
132,1,-999.511719,25000000.000
133,65281,875.488281,25000000.000
134,29439,-625.488281,25000000.000
135,1,-999.511719,25000000.000
136,17408,-500.000000,25000000.000
137,2434,188.476562,25000000.000
138,17664,-375.000000,25000000.000
139,30208,-250.000000,25000000.000
140,25856,-375.000000,25000000.000
141,28160,750.000000,25000000.000
142,29696,-500.000000,25000000.000
143,17408,-500.000000,25000000.000
144,24832,-875.000000,25000000.000
145,29696,-500.000000,25000000.000
146,24832,-875.000000,25000000.000
147,0,-1000.000000,25000000.000
148,512,-750.000000,25000000.000
149,65345,906.738281,25000000.000
150,27135,249.511719,25000000.000
151,0,-1000.000000,25000000.000
152,35328,250.000000,25000000.000
153,1135,-445.800781,25000000.000
154,17408,-500.000000,25000000.000
155,24832,-875.000000,25000000.000
156,29696,-500.000000,25000000.000
157,24832,-875.000000,25000000.000
158,0,-1000.000000,25000000.000
159,20736,-875.000000,25000000.000
160,0,-1000.000000,25000000.000
161,1536,-250.000000,25000000.000
162,38219,-338.378906,25000000.000
163,4,-998.046875,25000000.000
164,78,-961.914062,25000000.000
165,97,-952.636719,25000000.000
166,109,-946.777344,25000000.000
167,101,-950.683594,25000000.000
168,0,-1000.000000,25000000.000
169,261,-872.558594,25000000.000
170,31,-984.863281,25000000.000
171,84,-958.984375,25000000.000
172,104,-949.218750,25000000.000
173,101,-950.683594,25000000.000
174,114,-944.335938,25000000.000
175,109,-946.777344,25000000.000
176,97,-952.636719,25000000.000
177,108,-947.265625,25000000.000
178,90,-956.054688,25000000.000
179,111,-945.800781,25000000.000
180,110,-946.289062,25000000.000
181,101,-950.683594,25000000.000
182,68,-966.796875,25000000.000
183,101,-950.683594,25000000.000
184,118,-942.382812,25000000.000
185,105,-948.730469,25000000.000
186,99,-951.660156,25000000.000
187,101,-950.683594,25000000.000
188,73,-964.355469,25000000.000
189,110,-946.289062,25000000.000
190,115,-943.847656,25000000.000
191,116,-943.359375,25000000.000
192,97,-952.636719,25000000.000
193,110,-946.289062,25000000.000
194,99,-951.660156,25000000.000
195,101,-950.683594,25000000.000
196,76,-962.890625,25000000.000
197,101,-950.683594,25000000.000
198,110,-946.289062,25000000.000
199,103,-949.707031,25000000.000
200,116,-943.359375,25000000.000
201,104,-949.218750,25000000.000
202,3330,625.976562,25000000.000
203,0,-1000.000000,25000000.000
204,1030,-497.070312,25000000.000
205,65345,906.738281,25000000.000
206,24063,749.511719,25000000.000
207,0,-1000.000000,25000000.000
208,35328,250.000000,25000000.000
209,1135,-445.800781,25000000.000
210,17408,-500.000000,25000000.000
211,24832,-875.000000,25000000.000
212,29696,-500.000000,25000000.000
213,24832,-875.000000,25000000.000
214,0,-1000.000000,25000000.000
215,17664,-375.000000,25000000.000
216,0,-1000.000000,25000000.000
217,1536,-250.000000,25000000.000
218,38219,-338.378906,25000000.000
219,4,-998.046875,25000000.000
220,78,-961.914062,25000000.000
221,97,-952.636719,25000000.000
222,109,-946.777344,25000000.000
223,101,-950.683594,25000000.000
224,0,-1000.000000,25000000.000
225,261,-872.558594,25000000.000
226,25,-987.792969,25000000.000
227,84,-958.984375,25000000.000
228,104,-949.218750,25000000.000
229,101,-950.683594,25000000.000
230,114,-944.335938,25000000.000
231,109,-946.777344,25000000.000
232,97,-952.636719,25000000.000
233,108,-947.265625,25000000.000
234,90,-956.054688,25000000.000
235,111,-945.800781,25000000.000
236,110,-946.289062,25000000.000
237,101,-950.683594,25000000.000
238,68,-966.796875,25000000.000
239,101,-950.683594,25000000.000
240,118,-942.382812,25000000.000
241,105,-948.730469,25000000.000
242,99,-951.660156,25000000.000
243,101,-950.683594,25000000.000
244,73,-964.355469,25000000.000
245,110,-946.289062,25000000.000
246,115,-943.847656,25000000.000
247,116,-943.359375,25000000.000
248,97,-952.636719,25000000.000
249,110,-946.289062,25000000.000
250,99,-951.660156,25000000.000
251,101,-950.683594,25000000.000
252,3330,625.976562,25000000.000
253,1,-999.511719,25000000.000
254,1025,-499.511719,25000000.000
255,65345,906.738281,25000000.000
256,17407,-500.488281,25000000.000
257,0,-1000.000000,25000000.000
258,35328,250.000000,25000000.000
259,1135,-445.800781,25000000.000
260,17408,-500.000000,25000000.000
261,24832,-875.000000,25000000.000
262,29696,-500.000000,25000000.000
