sample_index,raw_code,voltage_mV,sample_rate_hz
0,2045,-1.464844,25000000.000
1,2008,-19.531250,25000000.000
2,2023,-12.207031,25000000.000
3,2025,-11.230469,25000000.000
4,2014,-16.601562,25000000.000
5,2023,-12.207031,25000000.000
6,2026,-10.742188,25000000.000
7,2026,-10.742188,25000000.000
8,2057,4.394531,25000000.000
9,2037,-5.371094,25000000.000
10,2046,-0.976562,25000000.000
11,2042,-2.929688,25000000.000
12,2088,19.531250,25000000.000
13,2025,-11.230469,25000000.000
14,2001,-22.949219,25000000.000
15,2010,-18.554688,25000000.000
16,2043,-2.441406,25000000.000
17,2060,5.859375,25000000.000
18,2040,-3.906250,25000000.000
19,2053,2.441406,25000000.000
20,2038,-4.882812,25000000.000
21,2022,-12.695312,25000000.000
22,2052,1.953125,25000000.000
23,2036,-5.859375,25000000.000
24,2065,8.300781,25000000.000
25,2045,-1.464844,25000000.000
26,2058,4.882812,25000000.000
27,2055,3.417969,25000000.000
28,2032,-7.812500,25000000.000
29,2048,0.000000,25000000.000
30,2040,-3.906250,25000000.000
31,2058,4.882812,25000000.000
32,2057,4.394531,25000000.000
33,2045,-1.464844,25000000.000
34,2037,-5.371094,25000000.000
35,2032,-7.812500,25000000.000
36,2020,-13.671875,25000000.000
37,2024,-11.718750,25000000.000
38,2038,-4.882812,25000000.000
39,2031,-8.300781,25000000.000
40,2016,-15.625000,25000000.000
41,2011,-18.066406,25000000.000
42,2013,-17.089844,25000000.000
43,2013,-17.089844,25000000.000
44,2043,-2.441406,25000000.000
45,2033,-7.324219,25000000.000
46,2035,-6.347656,25000000.000
47,2032,-7.812500,25000000.000
48,2032,-7.812500,25000000.000
49,2030,-8.789062,25000000.000
50,2040,-3.906250,25000000.000
51,2041,-3.417969,25000000.000
52,2049,0.488281,25000000.000
53,2034,-6.835938,25000000.000
54,2055,3.417969,25000000.000
55,2052,1.953125,25000000.000
56,2068,9.765625,25000000.000
57,2058,4.882812,25000000.000
58,2065,8.300781,25000000.000
59,2076,13.671875,25000000.000
60,2058,4.882812,25000000.000
61,2046,-0.976562,25000000.000
62,1965,-40.527344,25000000.000
63,1964,-41.015625,25000000.000
64,2015,-16.113281,25000000.000
65,2123,36.621094,25000000.000
66,2059,5.371094,25000000.000
67,2073,12.207031,25000000.000
68,2050,0.976562,25000000.000
69,2002,-22.460938,25000000.000
70,2096,23.437500,25000000.000
71,2066,8.789062,25000000.000
72,2077,14.160156,25000000.000
73,2031,-8.300781,25000000.000
74,2056,3.906250,25000000.000
75,2061,6.347656,25000000.000
76,2042,-2.929688,25000000.000
77,2089,20.019531,25000000.000
78,2013,-17.089844,25000000.000
79,2044,-1.953125,25000000.000
80,2096,23.437500,25000000.000
81,2025,-11.230469,25000000.000
82,2019,-14.160156,25000000.000
83,2014,-16.601562,25000000.000
84,2046,-0.976562,25000000.000
85,1997,-24.902344,25000000.000
86,2046,-0.976562,25000000.000
87,2028,-9.765625,25000000.000
88,2011,-18.066406,25000000.000
89,2114,32.226562,25000000.000
90,2056,3.906250,25000000.000
91,2068,9.765625,25000000.000
92,2043,-2.441406,25000000.000
93,2068,9.765625,25000000.000
94,2058,4.882812,25000000.000
95,2059,5.371094,25000000.000
96,2061,6.347656,25000000.000
97,2045,-1.464844,25000000.000
98,2001,-22.949219,25000000.000
99,2000,-23.437500,25000000.000
100,2005,-20.996094,25000000.000
101,2036,-5.859375,25000000.000
102,2034,-6.835938,25000000.000
103,2032,-7.812500,25000000.000
104,2021,-13.183594,25000000.000
105,2000,-23.437500,25000000.000
106,2032,-7.812500,25000000.000
107,2034,-6.835938,25000000.000
108,2025,-11.230469,25000000.000
109,2020,-13.671875,25000000.000
110,2033,-7.324219,25000000.000
111,2030,-8.789062,25000000.000
112,2032,-7.812500,25000000.000
113,2036,-5.859375,25000000.000
114,2043,-2.441406,25000000.000
115,2046,-0.976562,25000000.000
116,2040,-3.906250,25000000.000
117,2035,-6.347656,25000000.000
118,2032,-7.812500,25000000.000
119,2028,-9.765625,25000000.000
120,2056,3.906250,25000000.000
121,2054,2.929688,25000000.000
122,1982,-32.226562,25000000.000
123,1981,-32.714844,25000000.000
124,2075,13.183594,25000000.000
125,2045,-1.464844,25000000.000
126,2077,14.160156,25000000.000
127,2070,10.742188,25000000.000
128,2095,22.949219,25000000.000
129,2032,-7.812500,25000000.000
130,2090,20.507812,25000000.000
131,2081,16.113281,25000000.000
132,2038,-4.882812,25000000.000
133,2080,15.625000,25000000.000
134,2040,-3.906250,25000000.000
135,2055,3.417969,25000000.000
136,2044,-1.953125,25000000.000
137,2030,-8.789062,25000000.000
138,2023,-12.207031,25000000.000
139,2018,-14.648438,25000000.000
140,2022,-12.695312,25000000.000
141,2033,-7.324219,25000000.000
142,2029,-9.277344,25000000.000
143,2031,-8.300781,25000000.000
144,2025,-11.230469,25000000.000
145,2052,1.953125,25000000.000
146,2024,-11.718750,25000000.000
147,2016,-15.625000,25000000.000
148,2021,-13.183594,25000000.000
149,2029,-9.277344,25000000.000
150,2017,-15.136719,25000000.000
151,2010,-18.554688,25000000.000
152,2048,0.000000,25000000.000
153,2039,-4.394531,25000000.000
154,2033,-7.324219,25000000.000
155,2024,-11.718750,25000000.000
156,2033,-7.324219,25000000.000
157,2054,2.929688,25000000.000
158,2048,0.000000,25000000.000
159,2057,4.394531,25000000.000
160,2078,14.648438,25000000.000
161,1964,-41.015625,25000000.000
162,2188,68.359375,25000000.000
163,2159,54.199219,25000000.000
164,1986,-30.273438,25000000.000
165,2170,59.570312,25000000.000
166,2029,-9.277344,25000000.000
167,2022,-12.695312,25000000.000
168,2052,1.953125,25000000.000
169,2060,5.859375,25000000.000
170,2004,-21.484375,25000000.000
171,2011,-18.066406,25000000.000
172,2036,-5.859375,25000000.000
173,2017,-15.136719,25000000.000
174,2040,-3.906250,25000000.000
175,2037,-5.371094,25000000.000
176,1966,-40.039062,25000000.000
177,2032,-7.812500,25000000.000
178,1996,-25.390625,25000000.000
179,1978,-34.179688,25000000.000
180,1979,-33.691406,25000000.000
181,2025,-11.230469,25000000.000
182,2022,-12.695312,25000000.000
183,2018,-14.648438,25000000.000
184,2039,-4.394531,25000000.000
185,2030,-8.789062,25000000.000
186,2033,-7.324219,25000000.000
187,2034,-6.835938,25000000.000
188,2063,7.324219,25000000.000
189,2080,15.625000,25000000.000
190,2083,17.089844,25000000.000
191,2086,18.554688,25000000.000
192,2064,7.812500,25000000.000
193,2063,7.324219,25000000.000
194,2100,25.390625,25000000.000
195,2094,22.460938,25000000.000
196,2078,14.648438,25000000.000
197,2065,8.300781,25000000.000
198,2094,22.460938,25000000.000
199,2095,22.949219,25000000.000
200,2046,-0.976562,25000000.000
201,2122,36.132812,25000000.000
202,2026,-10.742188,25000000.000
203,2016,-15.625000,25000000.000
204,2026,-10.742188,25000000.000
205,2044,-1.953125,25000000.000
206,2015,-16.113281,25000000.000
207,2011,-18.066406,25000000.000
208,2033,-7.324219,25000000.000
209,2004,-21.484375,25000000.000
210,1979,-33.691406,25000000.000
211,1989,-28.808594,25000000.000
212,2022,-12.695312,25000000.000
213,2037,-5.371094,25000000.000
214,1911,-66.894531,25000000.000
215,1902,-71.289062,25000000.000
216,2014,-16.601562,25000000.000
217,2025,-11.230469,25000000.000
218,2011,-18.066406,25000000.000
219,2008,-19.531250,25000000.000
220,2075,13.183594,25000000.000
221,2006,-20.507812,25000000.000
222,2069,10.253906,25000000.000
223,2045,-1.464844,25000000.000
224,2029,-9.277344,25000000.000
225,2059,5.371094,25000000.000
226,2046,-0.976562,25000000.000
227,2046,-0.976562,25000000.000
228,1981,-32.714844,25000000.000
229,2082,16.601562,25000000.000
230,2099,24.902344,25000000.000
231,2109,29.785156,25000000.000
232,2064,7.812500,25000000.000
233,2069,10.253906,25000000.000
234,2073,12.207031,25000000.000
235,2076,13.671875,25000000.000
236,2074,12.695312,25000000.000
237,2040,-3.906250,25000000.000
238,2037,-5.371094,25000000.000
239,2037,-5.371094,25000000.000
240,2043,-2.441406,25000000.000
241,2051,1.464844,25000000.000
242,2025,-11.230469,25000000.000
243,2038,-4.882812,25000000.000
244,2022,-12.695312,25000000.000
245,2010,-18.554688,25000000.000
246,2013,-17.089844,25000000.000
247,2013,-17.089844,25000000.000
248,1983,-31.738281,25000000.000
249,2005,-20.996094,25000000.000
250,1987,-29.785156,25000000.000
251,1986,-30.273438,25000000.000
252,2022,-12.695312,25000000.000
253,2027,-10.253906,25000000.000
254,2043,-2.441406,25000000.000
255,2041,-3.417969,25000000.000
256,2083,17.089844,25000000.000
257,2057,4.394531,25000000.000
258,2049,0.488281,25000000.000
259,2050,0.976562,25000000.000
260,2072,11.718750,25000000.000
261,2061,6.347656,25000000.000
262,2064,7.812500,25000000.000
263,2060,5.859375,25000000.000
264,2064,7.812500,25000000.000
265,2070,10.742188,25000000.000
266,2070,10.742188,25000000.000
267,2072,11.718750,25000000.000
268,2042,-2.929688,25000000.000
269,2057,4.394531,25000000.000
270,2082,16.601562,25000000.000
271,2063,7.324219,25000000.000
272,1988,-29.296875,25000000.000
273,2083,17.089844,25000000.000
274,2069,10.253906,25000000.000
275,2085,18.066406,25000000.000
276,2033,-7.324219,25000000.000
277,2036,-5.859375,25000000.000
278,2087,19.042969,25000000.000
279,2071,11.230469,25000000.000
280,2039,-4.394531,25000000.000
281,1997,-24.902344,25000000.000
282,2026,-10.742188,25000000.000
283,2013,-17.089844,25000000.000
284,1990,-28.320312,25000000.000
285,2032,-7.812500,25000000.000
286,2015,-16.113281,25000000.000
287,2025,-11.230469,25000000.000
288,2030,-8.789062,25000000.000
289,2013,-17.089844,25000000.000
290,2091,20.996094,25000000.000
291,2059,5.371094,25000000.000
292,2036,-5.859375,25000000.000
293,2014,-16.601562,25000000.000
294,2036,-5.859375,25000000.000
295,2034,-6.835938,25000000.000
296,2068,9.765625,25000000.000
297,2046,-0.976562,25000000.000
298,2059,5.371094,25000000.000
299,2061,6.347656,25000000.000
300,2048,0.000000,25000000.000
301,2021,-13.183594,25000000.000
302,2096,23.437500,25000000.000
303,2079,15.136719,25000000.000
304,2005,-20.996094,25000000.000
305,2043,-2.441406,25000000.000
306,2068,9.765625,25000000.000
307,2051,1.464844,25000000.000
308,2058,4.882812,25000000.000
309,2050,0.976562,25000000.000
310,2052,1.953125,25000000.000
311,2052,1.953125,25000000.000
312,2074,12.695312,25000000.000
313,2032,-7.812500,25000000.000
314,2074,12.695312,25000000.000
315,2063,7.324219,25000000.000
316,2042,-2.929688,25000000.000
317,2044,-1.953125,25000000.000
318,2037,-5.371094,25000000.000
319,2036,-5.859375,25000000.000
320,2040,-3.906250,25000000.000
321,2051,1.464844,25000000.000
322,2031,-8.300781,25000000.000
323,2036,-5.859375,25000000.000
324,2039,-4.394531,25000000.000
325,2032,-7.812500,25000000.000
326,2044,-1.953125,25000000.000
327,2041,-3.417969,25000000.000
328,2029,-9.277344,25000000.000
329,2015,-16.113281,25000000.000
330,2035,-6.347656,25000000.000
331,2039,-4.394531,25000000.000
332,2052,1.953125,25000000.000
333,2073,12.207031,25000000.000
334,2058,4.882812,25000000.000
335,2055,3.417969,25000000.000
336,2035,-6.347656,25000000.000
337,2055,3.417969,25000000.000
338,2087,19.042969,25000000.000
339,2065,8.300781,25000000.000
340,2070,10.742188,25000000.000
341,2053,2.441406,25000000.000
342,2100,25.390625,25000000.000
343,2108,29.296875,25000000.000
344,2055,3.417969,25000000.000
345,2001,-22.949219,25000000.000
346,1953,-46.386719,25000000.000
347,1946,-49.804688,25000000.000
348,2035,-6.347656,25000000.000
349,2064,7.812500,25000000.000
350,2044,-1.953125,25000000.000
351,2084,17.578125,25000000.000
352,2076,13.671875,25000000.000
353,1981,-32.714844,25000000.000
354,2066,8.789062,25000000.000
355,2049,0.488281,25000000.000
356,2023,-12.207031,25000000.000
357,2083,17.089844,25000000.000
358,2027,-10.253906,25000000.000
359,2025,-11.230469,25000000.000
360,2045,-1.464844,25000000.000
361,2023,-12.207031,25000000.000
362,2041,-3.417969,25000000.000
363,2043,-2.441406,25000000.000
364,2030,-8.789062,25000000.000
365,2000,-23.437500,25000000.000
366,2017,-15.136719,25000000.000
367,2001,-22.949219,25000000.000
368,1997,-24.902344,25000000.000
369,2057,4.394531,25000000.000
370,2012,-17.578125,25000000.000
371,2023,-12.207031,25000000.000
372,2055,3.417969,25000000.000
373,2016,-15.625000,25000000.000
374,2065,8.300781,25000000.000
375,2055,3.417969,25000000.000
376,2043,-2.441406,25000000.000
377,2064,7.812500,25000000.000
378,2030,-8.789062,25000000.000
379,2030,-8.789062,25000000.000
380,2037,-5.371094,25000000.000
381,2046,-0.976562,25000000.000
382,2033,-7.324219,25000000.000
383,2040,-3.906250,25000000.000
384,2047,-0.488281,25000000.000
385,2026,-10.742188,25000000.000
386,2047,-0.488281,25000000.000
387,2050,0.976562,25000000.000
388,2031,-8.300781,25000000.000
389,2026,-10.742188,25000000.000
390,2047,-0.488281,25000000.000
391,2044,-1.953125,25000000.000
392,2043,-2.441406,25000000.000
393,2066,8.789062,25000000.000
394,2062,6.835938,25000000.000
395,2057,4.394531,25000000.000
396,2067,9.277344,25000000.000
397,2037,-5.371094,25000000.000
398,2101,25.878906,25000000.000
399,2100,25.390625,25000000.000
400,2113,31.738281,25000000.000
401,2024,-11.718750,25000000.000
402,2057,4.394531,25000000.000
403,2045,-1.464844,25000000.000
404,2062,6.835938,25000000.000
405,2084,17.578125,25000000.000
406,2056,3.906250,25000000.000
407,2051,1.464844,25000000.000
408,2114,32.226562,25000000.000
409,1983,-31.738281,25000000.000
410,2039,-4.394531,25000000.000
411,2014,-16.601562,25000000.000
412,2016,-15.625000,25000000.000
413,2006,-20.507812,25000000.000
414,2013,-17.089844,25000000.000
415,2004,-21.484375,25000000.000
416,2025,-11.230469,25000000.000
417,2020,-13.671875,25000000.000
418,2014,-16.601562,25000000.000
419,2030,-8.789062,25000000.000
420,2045,-1.464844,25000000.000
421,1996,-25.390625,25000000.000
422,2009,-19.042969,25000000.000
423,2004,-21.484375,25000000.000
424,2011,-18.066406,25000000.000
425,2015,-16.113281,25000000.000
426,2003,-21.972656,25000000.000
427,2006,-20.507812,25000000.000
428,2016,-15.625000,25000000.000
429,2015,-16.113281,25000000.000
430,2035,-6.347656,25000000.000
431,2041,-3.417969,25000000.000
432,2044,-1.953125,25000000.000
433,2015,-16.113281,25000000.000
434,2059,5.371094,25000000.000
435,2064,7.812500,25000000.000
436,2073,12.207031,25000000.000
437,2054,2.929688,25000000.000
438,2076,13.671875,25000000.000
439,2072,11.718750,25000000.000
440,2047,-0.488281,25000000.000
441,2097,23.925781,25000000.000
442,2049,0.488281,25000000.000
443,2055,3.417969,25000000.000
444,2057,4.394531,25000000.000
445,2070,10.742188,25000000.000
446,2058,4.882812,25000000.000
447,2059,5.371094,25000000.000
448,2044,-1.953125,25000000.000
449,2048,0.000000,25000000.000
450,2054,2.929688,25000000.000
451,2053,2.441406,25000000.000
452,2039,-4.394531,25000000.000
453,2026,-10.742188,25000000.000
454,2013,-17.089844,25000000.000
455,2010,-18.554688,25000000.000
456,1991,-27.832031,25000000.000
457,2007,-20.019531,25000000.000
458,1994,-26.367188,25000000.000
459,1990,-28.320312,25000000.000
460,1961,-42.480469,25000000.000
461,2001,-22.949219,25000000.000
462,1999,-23.925781,25000000.000
463,2002,-22.460938,25000000.000
464,2031,-8.300781,25000000.000
465,2051,1.464844,25000000.000
466,2084,17.578125,25000000.000
467,2080,15.625000,25000000.000
468,2092,21.484375,25000000.000
469,2105,27.832031,25000000.000
470,2113,31.738281,25000000.000
471,2115,32.714844,25000000.000
472,2075,13.183594,25000000.000
473,2095,22.949219,25000000.000
474,2084,17.578125,25000000.000
475,2089,20.019531,25000000.000
476,2094,22.460938,25000000.000
477,2058,4.882812,25000000.000
478,2070,10.742188,25000000.000
479,2071,11.230469,25000000.000
480,2069,10.253906,25000000.000
481,2072,11.718750,25000000.000
482,2070,10.742188,25000000.000
483,2066,8.789062,25000000.000
484,2067,9.277344,25000000.000
485,2058,4.882812,25000000.000
486,2042,-2.929688,25000000.000
487,2037,-5.371094,25000000.000
488,2030,-8.789062,25000000.000
489,2008,-19.531250,25000000.000
490,1977,-34.667969,25000000.000
491,1970,-38.085938,25000000.000
492,1983,-31.738281,25000000.000
493,1950,-47.851562,25000000.000
494,1958,-43.945312,25000000.000
495,1977,-34.667969,25000000.000
496,1955,-45.410156,25000000.000
497,1995,-25.878906,25000000.000
498,1997,-24.902344,25000000.000
499,2010,-18.554688,25000000.000
500,2044,-1.953125,25000000.000
501,2019,-14.160156,25000000.000
