sample_index,raw_code,voltage_mV,sample_rate_hz
0,2047,-0.488281,25000000.000
1,2046,-0.976562,25000000.000
2,2069,10.253906,25000000.000
3,2059,5.371094,25000000.000
4,2038,-4.882812,25000000.000
5,2058,4.882812,25000000.000
6,2022,-12.695312,25000000.000
7,2021,-13.183594,25000000.000
8,2084,17.578125,25000000.000
9,2047,-0.488281,25000000.000
10,2061,6.347656,25000000.000
11,2062,6.835938,25000000.000
12,2048,0.000000,25000000.000
13,2037,-5.371094,25000000.000
14,2051,1.464844,25000000.000
15,2044,-1.953125,25000000.000
16,2040,-3.906250,25000000.000
17,2029,-9.277344,25000000.000
18,2035,-6.347656,25000000.000
19,2044,-1.953125,25000000.000
20,2038,-4.882812,25000000.000
21,2023,-12.207031,25000000.000
22,2051,1.464844,25000000.000
23,2052,1.953125,25000000.000
24,2013,-17.089844,25000000.000
25,2013,-17.089844,25000000.000
26,2016,-15.625000,25000000.000
27,2011,-18.066406,25000000.000
28,2029,-9.277344,25000000.000
29,2034,-6.835938,25000000.000
30,2003,-21.972656,25000000.000
31,2007,-20.019531,25000000.000
32,2038,-4.882812,25000000.000
33,2037,-5.371094,25000000.000
34,2046,-0.976562,25000000.000
35,2038,-4.882812,25000000.000
36,2029,-9.277344,25000000.000
37,2058,4.882812,25000000.000
38,2036,-5.859375,25000000.000
39,2036,-5.859375,25000000.000
40,2057,4.394531,25000000.000
41,2040,-3.906250,25000000.000
42,2052,1.953125,25000000.000
43,2063,7.324219,25000000.000
44,2037,-5.371094,25000000.000
45,2030,-8.789062,25000000.000
46,2044,-1.953125,25000000.000
47,2042,-2.929688,25000000.000
48,2027,-10.253906,25000000.000
49,2049,0.488281,25000000.000
50,2014,-16.601562,25000000.000
51,2020,-13.671875,25000000.000
52,2028,-9.765625,25000000.000
53,2047,-0.488281,25000000.000
54,2033,-7.324219,25000000.000
55,2037,-5.371094,25000000.000
56,2028,-9.765625,25000000.000
57,1990,-28.320312,25000000.000
58,2072,11.718750,25000000.000
59,2164,56.640625,25000000.000
60,1914,-65.429688,25000000.000
61,1913,-65.917969,25000000.000
62,2189,68.847656,25000000.000
63,2197,72.753906,25000000.000
64,1854,-94.726562,25000000.000
65,2097,23.925781,25000000.000
66,2059,5.371094,25000000.000
67,2056,3.906250,25000000.000
68,1979,-33.691406,25000000.000
69,2066,8.789062,25000000.000
70,2070,10.742188,25000000.000
71,2078,14.648438,25000000.000
72,2005,-20.996094,25000000.000
73,2099,24.902344,25000000.000
74,2078,14.648438,25000000.000
75,2075,13.183594,25000000.000
76,2056,3.906250,25000000.000
77,2070,10.742188,25000000.000
78,2061,6.347656,25000000.000
79,2052,1.953125,25000000.000
80,2070,10.742188,25000000.000
81,2056,3.906250,25000000.000
82,2064,7.812500,25000000.000
83,2061,6.347656,25000000.000
84,2051,1.464844,25000000.000
85,2071,11.230469,25000000.000
86,2020,-13.671875,25000000.000
