sample_index,raw_code,voltage_mV,sample_rate_hz
0,2053,2.441406,25000000.000
1,2052,1.953125,25000000.000
2,2047,-0.488281,25000000.000
3,2046,-0.976562,25000000.000
4,2046,-0.976562,25000000.000
5,2045,-1.464844,25000000.000
6,2047,-0.488281,25000000.000
7,2046,-0.976562,25000000.000
8,2048,0.000000,25000000.000
9,2047,-0.488281,25000000.000
10,2046,-0.976562,25000000.000
11,2047,-0.488281,25000000.000
12,2047,-0.488281,25000000.000
13,2049,0.488281,25000000.000
14,2046,-0.976562,25000000.000
15,2047,-0.488281,25000000.000
16,2046,-0.976562,25000000.000
17,2048,0.000000,25000000.000
18,2048,0.000000,25000000.000
19,2049,0.488281,25000000.000
20,2048,0.000000,25000000.000
21,2048,0.000000,25000000.000
22,2047,-0.488281,25000000.000
23,2046,-0.976562,25000000.000
24,2048,0.000000,25000000.000
25,2047,-0.488281,25000000.000
26,2047,-0.488281,25000000.000
27,2047,-0.488281,25000000.000
28,2047,-0.488281,25000000.000
29,2048,0.000000,25000000.000
30,2046,-0.976562,25000000.000
31,2046,-0.976562,25000000.000
32,2046,-0.976562,25000000.000
33,2047,-0.488281,25000000.000
34,2048,0.000000,25000000.000
35,2048,0.000000,25000000.000
36,2047,-0.488281,25000000.000
37,2048,0.000000,25000000.000
38,2048,0.000000,25000000.000
39,2048,0.000000,25000000.000
40,2048,0.000000,25000000.000
41,2047,-0.488281,25000000.000
42,2047,-0.488281,25000000.000
43,2047,-0.488281,25000000.000
44,2047,-0.488281,25000000.000
45,2048,0.000000,25000000.000
46,2047,-0.488281,25000000.000
47,2048,0.000000,25000000.000
48,2048,0.000000,25000000.000
49,2048,0.000000,25000000.000
50,2048,0.000000,25000000.000
51,2052,1.953125,25000000.000
52,2044,-1.953125,25000000.000
53,2049,0.488281,25000000.000
54,2045,-1.464844,25000000.000
55,2047,-0.488281,25000000.000
56,2048,0.000000,25000000.000
57,2047,-0.488281,25000000.000
58,2048,0.000000,25000000.000
59,2046,-0.976562,25000000.000
60,2048,0.000000,25000000.000
61,2047,-0.488281,25000000.000
62,2046,-0.976562,25000000.000
63,2048,0.000000,25000000.000
64,2048,0.000000,25000000.000
65,2049,0.488281,25000000.000
66,2047,-0.488281,25000000.000
67,2047,-0.488281,25000000.000
68,2048,0.000000,25000000.000
69,2048,0.000000,25000000.000
70,2048,0.000000,25000000.000
71,2049,0.488281,25000000.000
72,2050,0.976562,25000000.000
73,2045,-1.464844,25000000.000
74,2049,0.488281,25000000.000
75,2048,0.000000,25000000.000
76,2047,-0.488281,25000000.000
77,2048,0.000000,25000000.000
78,2045,-1.464844,25000000.000
79,2047,-0.488281,25000000.000
80,2047,-0.488281,25000000.000
81,2047,-0.488281,25000000.000
82,2046,-0.976562,25000000.000
83,2046,-0.976562,25000000.000
84,2048,0.000000,25000000.000
85,2047,-0.488281,25000000.000
86,2047,-0.488281,25000000.000
87,2046,-0.976562,25000000.000
88,2047,-0.488281,25000000.000
89,2047,-0.488281,25000000.000
90,2047,-0.488281,25000000.000
91,2047,-0.488281,25000000.000
92,2047,-0.488281,25000000.000
93,2048,0.000000,25000000.000
94,2043,-2.441406,25000000.000
95,2044,-1.953125,25000000.000
96,2045,-1.464844,25000000.000
97,2045,-1.464844,25000000.000
98,2044,-1.953125,25000000.000
99,2044,-1.953125,25000000.000
100,2043,-2.441406,25000000.000
101,2043,-2.441406,25000000.000
102,2043,-2.441406,25000000.000
103,2042,-2.929688,25000000.000
104,2042,-2.929688,25000000.000
105,2040,-3.906250,25000000.000
106,2040,-3.906250,25000000.000
107,2041,-3.417969,25000000.000
108,2041,-3.417969,25000000.000
109,2040,-3.906250,25000000.000
110,2039,-4.394531,25000000.000
111,2040,-3.906250,25000000.000
112,2041,-3.417969,25000000.000
113,2043,-2.441406,25000000.000
114,2043,-2.441406,25000000.000
115,2043,-2.441406,25000000.000
116,2043,-2.441406,25000000.000
117,2048,0.000000,25000000.000
118,2043,-2.441406,25000000.000
119,2047,-0.488281,25000000.000
120,2049,0.488281,25000000.000
121,2051,1.464844,25000000.000
122,2053,2.441406,25000000.000
123,2052,1.953125,25000000.000
124,2056,3.906250,25000000.000
125,2058,4.882812,25000000.000
126,2059,5.371094,25000000.000
127,2058,4.882812,25000000.000
128,2061,6.347656,25000000.000
129,2064,7.812500,25000000.000
130,2064,7.812500,25000000.000
131,2064,7.812500,25000000.000
132,2067,9.277344,25000000.000
133,2068,9.765625,25000000.000
134,2069,10.253906,25000000.000
135,2068,9.765625,25000000.000
136,2069,10.253906,25000000.000
137,2069,10.253906,25000000.000
138,2070,10.742188,25000000.000
139,2069,10.253906,25000000.000
140,2067,9.277344,25000000.000
141,2067,9.277344,25000000.000
142,2067,9.277344,25000000.000
143,2067,9.277344,25000000.000
144,2064,7.812500,25000000.000
145,2064,7.812500,25000000.000
146,2064,7.812500,25000000.000
147,2063,7.324219,25000000.000
148,2058,4.882812,25000000.000
149,2059,5.371094,25000000.000
150,2056,3.906250,25000000.000
151,2057,4.394531,25000000.000
152,2054,2.929688,25000000.000
153,2050,0.976562,25000000.000
154,2051,1.464844,25000000.000
155,2050,0.976562,25000000.000
156,2048,0.000000,25000000.000
157,2046,-0.976562,25000000.000
158,2043,-2.441406,25000000.000
159,2043,-2.441406,25000000.000
160,2042,-2.929688,25000000.000
161,2042,-2.929688,25000000.000
162,2041,-3.417969,25000000.000
163,2041,-3.417969,25000000.000
164,2040,-3.906250,25000000.000
165,2040,-3.906250,25000000.000
166,2039,-4.394531,25000000.000
167,2040,-3.906250,25000000.000
168,2040,-3.906250,25000000.000
169,2038,-4.882812,25000000.000
170,2039,-4.394531,25000000.000
171,2040,-3.906250,25000000.000
172,2036,-5.859375,25000000.000
173,2033,-7.324219,25000000.000
174,2031,-8.300781,25000000.000
175,2031,-8.300781,25000000.000
176,2022,-12.695312,25000000.000
177,2017,-15.136719,25000000.000
178,2012,-17.578125,25000000.000
179,2011,-18.066406,25000000.000
180,1998,-24.414062,25000000.000
181,1993,-26.855469,25000000.000
182,1987,-29.785156,25000000.000
183,1986,-30.273438,25000000.000
184,1977,-34.667969,25000000.000
185,1973,-36.621094,25000000.000
186,1970,-38.085938,25000000.000
187,1970,-38.085938,25000000.000
188,1970,-38.085938,25000000.000
189,1973,-36.621094,25000000.000
190,1978,-34.179688,25000000.000
191,1978,-34.179688,25000000.000
192,1993,-26.855469,25000000.000
193,2002,-22.460938,25000000.000
194,2014,-16.601562,25000000.000
195,2015,-16.113281,25000000.000
196,2043,-2.441406,25000000.000
197,2061,6.347656,25000000.000
198,2072,11.718750,25000000.000
199,2075,13.183594,25000000.000
200,2101,25.878906,25000000.000
201,2112,31.250000,25000000.000
202,2124,37.109375,25000000.000
203,2124,37.109375,25000000.000
204,2140,44.921875,25000000.000
205,2144,46.875000,25000000.000
206,2150,49.804688,25000000.000
207,2150,49.804688,25000000.000
208,2153,51.269531,25000000.000
209,2149,49.316406,25000000.000
210,2145,47.363281,25000000.000
211,2144,46.875000,25000000.000
212,2131,40.527344,25000000.000
213,2122,36.132812,25000000.000
214,2109,29.785156,25000000.000
215,2109,29.785156,25000000.000
216,2083,17.089844,25000000.000
217,2071,11.230469,25000000.000
218,2058,4.882812,25000000.000
219,2058,4.882812,25000000.000
220,2034,-6.835938,25000000.000
221,2022,-12.695312,25000000.000
222,2013,-17.089844,25000000.000
223,2010,-18.554688,25000000.000
224,1996,-25.390625,25000000.000
225,1991,-27.832031,25000000.000
226,1988,-29.296875,25000000.000
227,1988,-29.296875,25000000.000
228,1989,-28.808594,25000000.000
229,1993,-26.855469,25000000.000
230,1997,-24.902344,25000000.000
231,1999,-23.925781,25000000.000
232,2017,-15.136719,25000000.000
233,2027,-10.253906,25000000.000
234,2040,-3.906250,25000000.000
235,2043,-2.441406,25000000.000
236,2066,8.789062,25000000.000
237,2079,15.136719,25000000.000
238,2092,21.484375,25000000.000
239,2092,21.484375,25000000.000
240,2113,31.738281,25000000.000
241,2121,35.644531,25000000.000
242,2127,38.574219,25000000.000
243,2127,38.574219,25000000.000
244,2133,41.503906,25000000.000
245,2138,43.945312,25000000.000
246,2135,42.480469,25000000.000
247,2135,42.480469,25000000.000
248,2123,36.621094,25000000.000
249,2113,31.738281,25000000.000
250,2103,26.855469,25000000.000
251,2103,26.855469,25000000.000
252,2076,13.671875,25000000.000
253,2059,5.371094,25000000.000
254,2044,-1.953125,25000000.000
255,2042,-2.929688,25000000.000
256,2008,-19.531250,25000000.000
257,1986,-30.273438,25000000.000
258,1970,-38.085938,25000000.000
259,1971,-37.597656,25000000.000
260,1945,-50.292969,25000000.000
261,1931,-57.128906,25000000.000
262,1918,-63.476562,25000000.000
263,1918,-63.476562,25000000.000
264,1900,-72.265625,25000000.000
265,1896,-74.218750,25000000.000
266,1892,-76.171875,25000000.000
267,1892,-76.171875,25000000.000
268,1897,-73.730469,25000000.000
269,1901,-71.777344,25000000.000
270,1911,-66.894531,25000000.000
271,1911,-66.894531,25000000.000
272,1936,-54.687500,25000000.000
273,1951,-47.363281,25000000.000
274,1968,-39.062500,25000000.000
275,1968,-39.062500,25000000.000
276,2005,-20.996094,25000000.000
277,2023,-12.207031,25000000.000
278,2044,-1.953125,25000000.000
279,2045,-1.464844,25000000.000
280,2083,17.089844,25000000.000
281,2103,26.855469,25000000.000
282,2119,34.667969,25000000.000
283,2122,36.132812,25000000.000
284,2149,49.316406,25000000.000
285,2161,55.175781,25000000.000
286,2171,60.058594,25000000.000
287,2172,60.546875,25000000.000
288,2181,64.941406,25000000.000
289,2183,65.917969,25000000.000
290,2184,66.406250,25000000.000
291,2183,65.917969,25000000.000
292,2174,61.523438,25000000.000
293,2165,57.128906,25000000.000
294,2153,51.269531,25000000.000
295,2152,50.781250,25000000.000
296,2127,38.574219,25000000.000
297,2112,31.250000,25000000.000
298,2094,22.460938,25000000.000
299,2091,20.996094,25000000.000
300,2061,6.347656,25000000.000
301,2044,-1.953125,25000000.000
302,2030,-8.789062,25000000.000
303,2029,-9.277344,25000000.000
304,2001,-22.949219,25000000.000
305,1989,-28.808594,25000000.000
306,1981,-32.714844,25000000.000
307,1979,-33.691406,25000000.000
308,1968,-39.062500,25000000.000
309,1967,-39.550781,25000000.000
310,1967,-39.550781,25000000.000
311,1964,-41.015625,25000000.000
312,1973,-36.621094,25000000.000
313,1981,-32.714844,25000000.000
314,1990,-28.320312,25000000.000
315,1991,-27.832031,25000000.000
316,2012,-17.578125,25000000.000
317,2028,-9.765625,25000000.000
318,2042,-2.929688,25000000.000
319,2043,-2.441406,25000000.000
320,2070,10.742188,25000000.000
321,2084,17.578125,25000000.000
322,2099,24.902344,25000000.000
323,2099,24.902344,25000000.000
324,2121,35.644531,25000000.000
325,2129,39.550781,25000000.000
326,2136,42.968750,25000000.000
327,2138,43.945312,25000000.000
328,2144,46.875000,25000000.000
329,2143,46.386719,25000000.000
330,2141,45.410156,25000000.000
331,2142,45.898438,25000000.000
332,2128,39.062500,25000000.000
333,2121,35.644531,25000000.000
334,2108,29.296875,25000000.000
335,2108,29.296875,25000000.000
336,2081,16.113281,25000000.000
337,2063,7.324219,25000000.000
338,2050,0.976562,25000000.000
339,2046,-0.976562,25000000.000
340,2017,-15.136719,25000000.000
341,2000,-23.437500,25000000.000
342,1985,-30.761719,25000000.000
343,1984,-31.250000,25000000.000
344,1958,-43.945312,25000000.000
345,1949,-48.339844,25000000.000
346,1940,-52.734375,25000000.000
347,1940,-52.734375,25000000.000
348,1931,-57.128906,25000000.000
349,1930,-57.617188,25000000.000
350,1932,-56.640625,25000000.000
351,1933,-56.152344,25000000.000
352,1943,-51.269531,25000000.000
353,1953,-46.386719,25000000.000
354,1964,-41.015625,25000000.000
355,1964,-41.015625,25000000.000
356,1992,-27.343750,25000000.000
357,2007,-20.019531,25000000.000
358,2022,-12.695312,25000000.000
359,2023,-12.207031,25000000.000
360,2057,4.394531,25000000.000
361,2073,12.207031,25000000.000
362,2088,19.531250,25000000.000
363,2088,19.531250,25000000.000
364,2115,32.714844,25000000.000
365,2126,38.085938,25000000.000
366,2135,42.480469,25000000.000
367,2137,43.457031,25000000.000
368,2146,47.851562,25000000.000
369,2146,47.851562,25000000.000
370,2147,48.339844,25000000.000
371,2147,48.339844,25000000.000
372,2138,43.945312,25000000.000
373,2129,39.550781,25000000.000
374,2118,34.179688,25000000.000
375,2117,33.691406,25000000.000
376,2094,22.460938,25000000.000
377,2079,15.136719,25000000.000
378,2064,7.812500,25000000.000
379,2062,6.835938,25000000.000
380,2030,-8.789062,25000000.000
381,2016,-15.625000,25000000.000
382,2001,-22.949219,25000000.000
383,1999,-23.925781,25000000.000
384,1976,-35.156250,25000000.000
385,1962,-41.992188,25000000.000
386,1954,-45.898438,25000000.000
387,1954,-45.898438,25000000.000
388,1948,-48.828125,25000000.000
389,1945,-50.292969,25000000.000
390,1946,-49.804688,25000000.000
391,1944,-50.781250,25000000.000
392,1953,-46.386719,25000000.000
393,1964,-41.015625,25000000.000
394,1973,-36.621094,25000000.000
395,1974,-36.132812,25000000.000
396,1998,-24.414062,25000000.000
397,2014,-16.601562,25000000.000
398,2029,-9.277344,25000000.000
399,2031,-8.300781,25000000.000
400,2060,5.859375,25000000.000
401,2076,13.671875,25000000.000
402,2089,20.019531,25000000.000
403,2091,20.996094,25000000.000
404,2116,33.203125,25000000.000
405,2124,37.109375,25000000.000
406,2134,41.992188,25000000.000
407,2134,41.992188,25000000.000
408,2145,47.363281,25000000.000
409,2148,48.828125,25000000.000
410,2149,49.316406,25000000.000
411,2149,49.316406,25000000.000
412,2142,45.898438,25000000.000
413,2137,43.457031,25000000.000
414,2130,40.039062,25000000.000
415,2129,39.550781,25000000.000
416,2111,30.761719,25000000.000
417,2100,25.390625,25000000.000
418,2090,20.507812,25000000.000
419,2088,19.531250,25000000.000
420,2066,8.789062,25000000.000
421,2053,2.441406,25000000.000
422,2042,-2.929688,25000000.000
423,2040,-3.906250,25000000.000
424,2024,-11.718750,25000000.000
425,2000,-23.437500,25000000.000
426,2007,-20.019531,25000000.000
427,2003,-21.972656,25000000.000
428,1991,-27.832031,25000000.000
429,1981,-32.714844,25000000.000
430,1978,-34.179688,25000000.000
431,1981,-32.714844,25000000.000
432,1977,-34.667969,25000000.000
433,1981,-32.714844,25000000.000
434,1984,-31.250000,25000000.000
435,1986,-30.273438,25000000.000
436,1995,-25.878906,25000000.000
437,2002,-22.460938,25000000.000
438,2012,-17.578125,25000000.000
439,2012,-17.578125,25000000.000
440,2029,-9.277344,25000000.000
441,2040,-3.906250,25000000.000
442,2050,0.976562,25000000.000
443,2052,1.953125,25000000.000
444,2067,9.277344,25000000.000
445,2078,14.648438,25000000.000
446,2085,18.066406,25000000.000
447,2086,18.554688,25000000.000
448,2097,23.925781,25000000.000
449,2100,25.390625,25000000.000
450,2103,26.855469,25000000.000
451,2105,27.832031,25000000.000
452,2104,27.343750,25000000.000
453,2099,24.902344,25000000.000
454,2094,22.460938,25000000.000
455,2094,22.460938,25000000.000
456,2083,17.089844,25000000.000
457,2074,12.695312,25000000.000
458,2064,7.812500,25000000.000
459,2061,6.347656,25000000.000
460,2041,-3.417969,25000000.000
461,2028,-9.765625,25000000.000
462,2020,-13.671875,25000000.000
463,2019,-14.160156,25000000.000
464,1997,-24.902344,25000000.000
465,1991,-27.832031,25000000.000
466,1980,-33.203125,25000000.000
467,1981,-32.714844,25000000.000
468,1969,-38.574219,25000000.000
469,1965,-40.527344,25000000.000
470,1963,-41.503906,25000000.000
471,1964,-41.015625,25000000.000
472,1966,-40.039062,25000000.000
473,1970,-38.085938,25000000.000
474,1976,-35.156250,25000000.000
475,1976,-35.156250,25000000.000
476,1994,-26.367188,25000000.000
477,2003,-21.972656,25000000.000
478,2014,-16.601562,25000000.000
479,2015,-16.113281,25000000.000
480,2040,-3.906250,25000000.000
481,2055,3.417969,25000000.000
