sample_index,raw_code,voltage_mV,sample_rate_hz
0,2004,-21.484375,25000000.000
1,2085,18.066406,25000000.000
2,2100,25.390625,25000000.000
3,2104,27.343750,25000000.000
4,2099,24.902344,25000000.000
5,2054,2.929688,25000000.000
6,2046,-0.976562,25000000.000
7,2037,-5.371094,25000000.000
8,2064,7.812500,25000000.000
9,2080,15.625000,25000000.000
10,2060,5.859375,25000000.000
11,2066,8.789062,25000000.000
12,2061,6.347656,25000000.000
13,2053,2.441406,25000000.000
14,2070,10.742188,25000000.000
15,2066,8.789062,25000000.000
16,2075,13.183594,25000000.000
17,2051,1.464844,25000000.000
18,2046,-0.976562,25000000.000
19,2042,-2.929688,25000000.000
20,2051,1.464844,25000000.000
21,2051,1.464844,25000000.000
22,2054,2.929688,25000000.000
23,2053,2.441406,25000000.000
24,2024,-11.718750,25000000.000
25,2042,-2.929688,25000000.000
26,2039,-4.394531,25000000.000
27,2033,-7.324219,25000000.000
28,2042,-2.929688,25000000.000
29,2061,6.347656,25000000.000
30,2036,-5.859375,25000000.000
31,2037,-5.371094,25000000.000
32,2051,1.464844,25000000.000
33,2028,-9.765625,25000000.000
34,2037,-5.371094,25000000.000
35,2037,-5.371094,25000000.000
36,2050,0.976562,25000000.000
37,2044,-1.953125,25000000.000
38,2051,1.464844,25000000.000
39,2037,-5.371094,25000000.000
40,2032,-7.812500,25000000.000
41,2060,5.859375,25000000.000
42,2043,-2.441406,25000000.000
43,2053,2.441406,25000000.000
44,2060,5.859375,25000000.000
45,2032,-7.812500,25000000.000
46,2044,-1.953125,25000000.000
47,2038,-4.882812,25000000.000
48,2031,-8.300781,25000000.000
49,2057,4.394531,25000000.000
50,2036,-5.859375,25000000.000
51,2043,-2.441406,25000000.000
52,2078,14.648438,25000000.000
53,2050,0.976562,25000000.000
54,2033,-7.324219,25000000.000
55,2027,-10.253906,25000000.000
56,2059,5.371094,25000000.000
57,1947,-49.316406,25000000.000
58,2148,48.828125,25000000.000
59,2152,50.781250,25000000.000
60,2000,-23.437500,25000000.000
61,2066,8.789062,25000000.000
62,2004,-21.484375,25000000.000
63,1981,-32.714844,25000000.000
64,1971,-37.597656,25000000.000
65,1983,-31.738281,25000000.000
66,2098,24.414062,25000000.000
67,2094,22.460938,25000000.000
68,2065,8.300781,25000000.000
69,2069,10.253906,25000000.000
70,2007,-20.019531,25000000.000
71,2010,-18.554688,25000000.000
72,2023,-12.207031,25000000.000
73,2000,-23.437500,25000000.000
74,2040,-3.906250,25000000.000
75,2037,-5.371094,25000000.000
76,2038,-4.882812,25000000.000
77,2041,-3.417969,25000000.000
78,1994,-26.367188,25000000.000
79,2006,-20.507812,25000000.000
80,2029,-9.277344,25000000.000
81,1994,-26.367188,25000000.000
82,2044,-1.953125,25000000.000
83,2035,-6.347656,25000000.000
84,2004,-21.484375,25000000.000
85,2039,-4.394531,25000000.000
86,2000,-23.437500,25000000.000
87,2007,-20.019531,25000000.000
88,2021,-13.183594,25000000.000
89,2004,-21.484375,25000000.000
90,2023,-12.207031,25000000.000
91,2006,-20.507812,25000000.000
92,2035,-6.347656,25000000.000
93,2030,-8.789062,25000000.000
94,2017,-15.136719,25000000.000
95,2019,-14.160156,25000000.000
96,2016,-15.625000,25000000.000
97,2026,-10.742188,25000000.000
98,2020,-13.671875,25000000.000
99,2016,-15.625000,25000000.000
100,2047,-0.488281,25000000.000
101,2032,-7.812500,25000000.000
102,2070,10.742188,25000000.000
103,2058,4.882812,25000000.000
104,2046,-0.976562,25000000.000
105,2061,6.347656,25000000.000
106,2032,-7.812500,25000000.000
107,2035,-6.347656,25000000.000
108,2053,2.441406,25000000.000
109,2042,-2.929688,25000000.000
110,2075,13.183594,25000000.000
111,2070,10.742188,25000000.000
112,2048,0.000000,25000000.000
113,2062,6.835938,25000000.000
114,2051,1.464844,25000000.000
115,2051,1.464844,25000000.000
116,2068,9.765625,25000000.000
117,2046,-0.976562,25000000.000
118,2046,-0.976562,25000000.000
119,2049,0.488281,25000000.000
120,2033,-7.324219,25000000.000
121,2047,-0.488281,25000000.000
