cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-12T14:09:38.138,2026-07-12T14:09:38.579,4.5,7,612000,6000,200,1000,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-12T14:09:39.227,2026-07-12T14:09:39.670,4.5,7,612000,6000,200,1000,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-12T14:09:40.221,2026-07-12T14:09:40.660,4.5,7,612000,6000,200,1000,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-12T14:09:41.291,2026-07-12T14:09:41.736,4.5,7,612000,6000,200,1000,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-12T14:09:42.306,2026-07-12T14:09:42.747,4.5,7,612000,6000,200,1000,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-12T14:09:43.318,2026-07-12T14:09:43.760,4.5,7,612000,6000,200,1000,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-12T14:09:44.332,2026-07-12T14:09:44.774,4.5,7,612000,6000,200,1000,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-12T14:09:45.339,2026-07-12T14:09:45.780,4.5,7,612000,6000,200,1000,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-12T14:09:46.352,2026-07-12T14:09:46.781,4.5,7,612000,6000,200,1000,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-12T14:09:47.355,2026-07-12T14:09:47.811,4.5,7,612000,6000,200,1000,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-12T14:09:48.385,2026-07-12T14:09:48.826,4.5,7,612000,6000,200,1000,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-12T14:09:49.390,2026-07-12T14:09:49.836,4.5,7,612000,6000,200,1000,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-12T14:09:50.408,2026-07-12T14:09:50.855,4.5,7,612000,6000,200,1000,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-12T14:09:51.424,2026-07-12T14:09:51.861,4.5,7,612000,6000,200,1000,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-12T14:09:52.416,2026-07-12T14:09:52.845,4.5,7,612000,6000,200,1000,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-12T14:09:53.478,2026-07-12T14:09:53.923,4.5,7,612000,6000,200,1000,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-12T14:09:54.494,2026-07-12T14:09:54.934,4.5,7,612000,6000,200,1000,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-12T14:09:55.503,2026-07-12T14:09:55.947,4.5,7,612000,6000,200,1000,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-12T14:09:56.519,2026-07-12T14:09:56.960,4.5,7,612000,6000,200,1000,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-12T14:09:57.528,2026-07-12T14:09:57.957,4.5,7,612000,6000,200,1000,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-12T14:09:58.529,2026-07-12T14:09:58.971,4.5,7,612000,6000,200,1000,
22,complete,probe/cycle_000022.csv,treatment/cycle_000022.csv,2026-07-12T14:09:59.541,2026-07-12T14:09:59.980,4.5,7,612000,6000,200,1000,
23,complete,probe/cycle_000023.csv,treatment/cycle_000023.csv,2026-07-12T14:10:00.547,2026-07-12T14:10:00.991,4.5,7,612000,6000,200,1000,
24,complete,probe/cycle_000024.csv,treatment/cycle_000024.csv,2026-07-12T14:10:01.549,2026-07-12T14:10:01.989,4.5,7,612000,6000,200,1000,
25,complete,probe/cycle_000025.csv,treatment/cycle_000025.csv,2026-07-12T14:10:02.620,2026-07-12T14:10:03.064,4.5,7,612000,6000,200,1000,
26,complete,probe/cycle_000026.csv,treatment/cycle_000026.csv,2026-07-12T14:10:03.651,2026-07-12T14:10:04.094,4.5,7,612000,6000,200,1000,
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-12T14:10:04.667,2026-07-12T14:10:05.111,4.5,7,612000,6000,200,1000,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-12T14:10:05.680,2026-07-12T14:10:06.124,4.5,7,612000,6000,200,1000,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-12T14:10:06.689,2026-07-12T14:10:07.133,4.5,7,612000,6000,200,1000,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-12T14:10:07.702,2026-07-12T14:10:08.143,4.5,7,612000,6000,200,1000,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-12T14:10:08.713,2026-07-12T14:10:09.155,4.5,7,612000,6000,200,1000,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-12T14:10:09.726,2026-07-12T14:10:10.169,4.5,7,612000,6000,200,1000,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-12T14:10:10.739,2026-07-12T14:10:11.184,4.5,7,612000,6000,200,1000,
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-12T14:10:11.753,2026-07-12T14:10:12.200,4.5,7,612000,6000,200,1000,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-12T14:10:12.771,2026-07-12T14:10:13.214,4.5,7,612000,6000,200,1000,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-12T14:10:13.784,2026-07-12T14:10:14.227,4.5,7,612000,6000,200,1000,
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-12T14:10:14.799,2026-07-12T14:10:15.241,4.5,7,612000,6000,200,1000,
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-12T14:10:15.809,2026-07-12T14:10:16.238,4.5,7,612000,6000,200,1000,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-12T14:10:16.873,2026-07-12T14:10:17.301,4.5,7,612000,6000,200,1000,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-12T14:10:17.934,2026-07-12T14:10:18.359,4.5,7,612000,6000,200,1000,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-12T14:10:18.992,2026-07-12T14:10:19.420,4.5,7,612000,6000,200,1000,
42,complete,probe/cycle_000042.csv,treatment/cycle_000042.csv,2026-07-12T14:10:20.053,2026-07-12T14:10:20.494,4.5,7,612000,6000,200,1000,
43,complete,probe/cycle_000043.csv,treatment/cycle_000043.csv,2026-07-12T14:10:21.066,2026-07-12T14:10:21.509,4.5,7,612000,6000,200,1000,
44,complete,probe/cycle_000044.csv,treatment/cycle_000044.csv,2026-07-12T14:10:22.064,2026-07-12T14:10:22.507,4.5,7,612000,6000,200,1000,
45,complete,probe/cycle_000045.csv,treatment/cycle_000045.csv,2026-07-12T14:10:23.137,2026-07-12T14:10:23.580,4.5,7,612000,6000,200,1000,
46,complete,probe/cycle_000046.csv,treatment/cycle_000046.csv,2026-07-12T14:10:24.148,2026-07-12T14:10:24.591,4.5,7,612000,6000,200,1000,
47,complete,probe/cycle_000047.csv,treatment/cycle_000047.csv,2026-07-12T14:10:25.161,2026-07-12T14:10:25.607,4.5,7,612000,6000,200,1000,
48,complete,probe/cycle_000048.csv,treatment/cycle_000048.csv,2026-07-12T14:10:26.174,2026-07-12T14:10:26.599,4.5,7,612000,6000,200,1000,
49,complete,probe/cycle_000049.csv,treatment/cycle_000049.csv,2026-07-12T14:10:27.231,2026-07-12T14:10:27.675,4.5,7,612000,6000,200,1000,
50,complete,probe/cycle_000050.csv,treatment/cycle_000050.csv,2026-07-12T14:10:28.246,2026-07-12T14:10:28.690,4.5,7,612000,6000,200,1000,
51,complete,probe/cycle_000051.csv,treatment/cycle_000051.csv,2026-07-12T14:10:29.259,2026-07-12T14:10:29.685,4.5,7,612000,6000,200,1000,
52,complete,probe/cycle_000052.csv,treatment/cycle_000052.csv,2026-07-12T14:10:30.319,2026-07-12T14:10:30.762,4.5,7,612000,6000,200,1000,
53,complete,probe/cycle_000053.csv,treatment/cycle_000053.csv,2026-07-12T14:10:31.334,2026-07-12T14:10:31.776,4.5,7,612000,6000,200,1000,
54,complete,probe/cycle_000054.csv,treatment/cycle_000054.csv,2026-07-12T14:10:32.345,2026-07-12T14:10:32.788,4.5,7,612000,6000,200,1000,
55,complete,probe/cycle_000055.csv,treatment/cycle_000055.csv,2026-07-12T14:10:33.358,2026-07-12T14:10:33.801,4.5,7,612000,6000,200,1000,
56,complete,probe/cycle_000056.csv,treatment/cycle_000056.csv,2026-07-12T14:10:34.371,2026-07-12T14:10:34.813,4.5,7,612000,6000,200,1000,
57,complete,probe/cycle_000057.csv,treatment/cycle_000057.csv,2026-07-12T14:10:35.383,2026-07-12T14:10:35.840,4.5,7,612000,6000,200,1000,
58,complete,probe/cycle_000058.csv,treatment/cycle_000058.csv,2026-07-12T14:10:36.411,2026-07-12T14:10:36.851,4.5,7,612000,6000,200,1000,
59,complete,probe/cycle_000059.csv,treatment/cycle_000059.csv,2026-07-12T14:10:37.421,2026-07-12T14:10:37.863,4.5,7,612000,6000,200,1000,
60,complete,probe/cycle_000060.csv,treatment/cycle_000060.csv,2026-07-12T14:10:38.430,2026-07-12T14:10:38.860,4.5,7,612000,6000,200,1000,
61,complete,probe/cycle_000061.csv,treatment/cycle_000061.csv,2026-07-12T14:10:39.490,2026-07-12T14:10:39.933,4.5,7,612000,6000,200,1000,
62,complete,probe/cycle_000062.csv,treatment/cycle_000062.csv,2026-07-12T14:10:40.502,2026-07-12T14:10:40.933,4.5,7,612000,6000,200,1000,
