rank,frequency_hz,frequency_khz,amplitude_mv,power,nearest_72k_multiple,delta_to_72k_hz,nearest_128k_multiple,delta_to_128k_hz
1,127000.0,127.0,0.09631472334399792,0.009276525932830857,2,-17000.0,1,-1000.0
2,382000.0,382.0,0.018235364957729972,0.0003325285351416062,5,22000.0,3,-2000.0
3,106000.0,106.0,0.01424696557129343,0.0002029760279896203,1,34000.0,1,-22000.0
4,191000.0,191.0,0.013815711877993374,0.0001908738946957272,3,-25000.0,1,63000.0
5,255000.0,255.0,0.01370852858567948,0.00018792375598439143,4,-33000.0,2,-1000.0
6,488000.0,488.0,0.013217680307446826,0.0001747070727098676,7,-16000.0,4,-24000.0
7,297000.0,297.0,0.012918253140614396,0.0001668812642049937,4,9000.0,2,41000.0
8,149000.0,149.0,0.01247006598438044,0.00015550254565480212,2,5000.0,1,21000.0
9,319000.0,319.0,0.012254256334544161,0.0001501667983127157,4,31000.0,2,63000.0
10,879000.0,879.0,0.01039059367981644,0.00010796443701904133,12,15000.0,7,-17000.0
11,848000.0,848.0,0.009990212956656891,9.980435491935521e-05,12,-16000.0,7,-48000.0
12,679000.0,679.0,0.009939755454153713,9.879873848837848e-05,9,31000.0,5,39000.0
13,784000.0,784.0,0.00964777949256657,9.307964913718805e-05,11,-8000.0,6,16000.0
14,755000.0,755.0,0.009377708171834623,8.794141055609387e-05,10,35000.0,6,-13000.0
15,404000.0,404.0,0.009274884248435398,8.602347782187506e-05,6,-28000.0,3,20000.0
16,806000.0,806.0,0.0089366217468195,7.986320824572723e-05,11,14000.0,6,38000.0
17,857000.0,857.0,0.008884041703817852,7.89261969951748e-05,12,-7000.0,7,-39000.0
18,446000.0,446.0,0.008599417716906551,7.394998506984628e-05,6,14000.0,3,62000.0
19,773000.0,773.0,0.008570864620289281,7.345972033932652e-05,11,-19000.0,6,5000.0
20,838000.0,838.0,0.008540395313667296,7.293835211371031e-05,12,-26000.0,7,-58000.0
21,467000.0,467.0,0.008264039658483808,6.829435147699317e-05,6,35000.0,4,-45000.0
22,722000.0,722.0,0.008243546860806658,6.79560648463153e-05,10,2000.0,6,-46000.0
23,531000.0,531.0,0.008224716364100968,6.764595926991024e-05,7,27000.0,4,19000.0
24,276000.0,276.0,0.008137312570391247,6.621585586824741e-05,4,-12000.0,2,20000.0
25,64000.0,64.0,0.008034103437422902,6.45468180432105e-05,1,-8000.0,0,64000.0
26,701000.0,701.0,0.008002156354609321,6.403450632361433e-05,10,-19000.0,5,61000.0
27,212000.0,212.0,0.007843738176241247,6.152422857742437e-05,3,-4000.0,2,-44000.0
28,2144000.0,2144.0,0.007588519792113863,5.7585632635303835e-05,30,-16000.0,17,-32000.0
29,888000.0,888.0,0.0073060371776057995,5.3378179240558115e-05,12,24000.0,7,-8000.0
30,573000.0,573.0,0.007279455118599535,5.2990466823704976e-05,8,-3000.0,4,61000.0
31,616000.0,616.0,0.007244700011910103,5.2485678262570244e-05,9,-32000.0,5,-24000.0
32,2256000.0,2256.0,0.006946444979840441,4.825309785795046e-05,31,24000.0,18,-48000.0
33,715000.0,715.0,0.006944463142686206,4.822556834012718e-05,10,-5000.0,6,-53000.0
34,1074000.0,1074.0,0.006896744631166729,4.75650865075271e-05,15,-6000.0,8,50000.0
35,778000.0,778.0,0.006856042260567835,4.7005315478692115e-05,11,-14000.0,6,10000.0
36,1080000.0,1080.0,0.006825289394267361,4.658457531549852e-05,15,0.0,8,56000.0
37,732000.0,732.0,0.00672120902779014,4.517465079524767e-05,10,12000.0,6,-36000.0
38,893000.0,893.0,0.006705469534457434,4.4963321677536804e-05,12,29000.0,7,-3000.0
39,361000.0,361.0,0.0066706967857553,4.449819560748609e-05,5,1000.0,3,-23000.0
40,630000.0,630.0,0.006666122653258879,4.44371912282912e-05,9,-18000.0,5,-10000.0
