rank,frequency_hz,frequency_khz,mean_power,mean_amplitude_mv
1,128000.0,128.0,0.008848812838093622,0.09406812870517635
2,6000.0,6.0,0.001918983669014201,0.043806205827647306
3,383000.0,383.0,0.0003443210103958482,0.018555888833355523
4,12000.0,12.0,0.0001796640347544142,0.013403881331704419
5,297000.0,297.0,0.00017200272835438007,0.01311498106572709
6,191000.0,191.0,0.00016407335712211702,0.012809112269088636
7,319000.0,319.0,0.00013266469373297358,0.011518016050213404
8,255000.0,255.0,0.00013046118188123103,0.011421960509528609
9,488000.0,488.0,0.00012991815837667584,0.011398164693347602
10,424000.0,424.0,9.908456644147377e-05,0.009954123087518748
11,105000.0,105.0,9.843588353804384e-05,0.009921485954132265
12,616000.0,616.0,9.730070780812378e-05,0.009864112114535386
13,149000.0,149.0,6.232547189317355e-05,0.007894648307123855
14,361000.0,361.0,5.274002287731599e-05,0.00726223263723464
15,233000.0,233.0,5.23865370046768e-05,0.007237854447602328
16,446000.0,446.0,4.925217065831453e-05,0.007017989075106524
17,573000.0,573.0,4.8274853697996944e-05,0.006948010772731786
18,276000.0,276.0,4.79746136361016e-05,0.006926370884965777
19,64000.0,64.0,4.6683297489810326e-05,0.006832517653823539
20,764000.0,764.0,4.4778433014760655e-05,0.006691668925967621
21,700000.0,700.0,3.885056939988572e-05,0.0062330224931317
22,2500000.0,2500.0,3.710216414958867e-05,0.006091154582637734
23,3750000.0,3750.0,3.5642085700246225e-05,0.005970099304052339
24,827000.0,827.0,3.4201317392656875e-05,0.005848189240496316
25,743000.0,743.0,3.407885063170111e-05,0.005837709365127825
26,18000.0,18.0,3.400173931307591e-05,0.0058311010378037445
27,871000.0,871.0,3.318966316164309e-05,0.005761047054281287
28,531000.0,531.0,3.251049238680995e-05,0.005701797294433568
29,637000.0,637.0,3.226950304867832e-05,0.005680625233957818
30,1080000.0,1080.0,3.152873131708139e-05,0.0056150450859348755
31,821000.0,821.0,3.0511303270012564e-05,0.005523703763781378
32,807000.0,807.0,3.0133172469974596e-05,0.0054893690411535094
33,2144000.0,2144.0,2.996894155088464e-05,0.005474389605324473
34,796000.0,796.0,2.9905869693164282e-05,0.005468625941967898
35,340000.0,340.0,2.9498416022045106e-05,0.005431244426652616
36,169000.0,169.0,2.921560069973889e-05,0.0054051457611926515
37,817000.0,817.0,2.8913817307215263e-05,0.005377156991126004
38,801000.0,801.0,2.869958451150128e-05,0.005357199316014039
39,213000.0,213.0,2.8388823965226462e-05,0.005328116361832431
40,845000.0,845.0,2.826566194216495e-05,0.005316546053798928
