rank,frequency_hz,frequency_khz,amplitude_mv,power
1,128000.0,128.0,0.10335596148900597,0.010682454775316885
2,383000.0,383.0,0.022934671374540378,0.0005259991510581618
3,192000.0,192.0,0.01412871519549613,0.00019962059307544324
4,256000.0,256.0,0.012906927723963029,0.00016658878327160544
5,105000.0,105.0,0.012410461351211597,0.0001540195509499168
6,319000.0,319.0,0.011721313556116128,0.0001373891914807917
7,297000.0,297.0,0.011280017471633711,0.00012723879416036177
8,488000.0,488.0,0.010973366779234543,0.00012041477847160829
9,424000.0,424.0,0.010297546681829483,0.00010603946766445739
10,856000.0,856.0,0.010290579856410196,0.00010589603378115529
11,616000.0,616.0,0.010273271434308708,0.00010554010596298328
12,214000.0,214.0,0.009969106640254112,9.938308720475863e-05
13,784000.0,784.0,0.009859556825822778,9.721086080162854e-05
14,751000.0,751.0,0.009558736520732435,9.136944387278401e-05
15,705000.0,705.0,0.009556514742048088,9.132697401498244e-05
16,830000.0,830.0,0.00914659771232007,8.366024971101874e-05
17,150000.0,150.0,0.009000428314208322,8.100770983920286e-05
18,807000.0,807.0,0.008791501881856732,7.729050533869046e-05
19,764000.0,764.0,0.008766401362571117,7.684979284968874e-05
20,278000.0,278.0,0.008633419552648777,7.453593317205821e-05
21,987000.0,987.0,0.008481542943599254,7.19365707041183e-05
22,799000.0,799.0,0.00838113304123015,7.024339105479975e-05
23,64000.0,64.0,0.008364479208801017,6.99645124344645e-05
24,584000.0,584.0,0.008204235778480257,6.730948470889554e-05
25,698000.0,698.0,0.008119690856357673,6.59293796028184e-05
26,1078000.0,1078.0,0.007972968512640734,6.35682269035606e-05
27,169000.0,169.0,0.007922753383563012,6.277002117675916e-05
28,679000.0,679.0,0.00784808140075851,6.159238167293165e-05
29,736000.0,736.0,0.007767665859471429,6.033663290439801e-05
30,361000.0,361.0,0.007583570947054408,5.75105483090077e-05
31,633000.0,633.0,0.007537135588114164,5.680841287361704e-05
32,757000.0,757.0,0.007518088136983864,5.652164923545751e-05
33,3750000.0,3750.0,0.007513461749041579,5.645210745431094e-05
34,969000.0,969.0,0.007506589923747181,5.6348892283302715e-05
35,813000.0,813.0,0.007496681059674322,5.620022691047971e-05
36,447000.0,447.0,0.007384736993470496,5.4534340462731666e-05
37,826000.0,826.0,0.0072433906189684,5.2466707658959415e-05
38,546000.0,546.0,0.007239062458464564,5.240402527755102e-05
39,882000.0,882.0,0.007234370880952105,5.2336122043167735e-05
40,120000.0,120.0,0.007168842448894688,5.1392302057074386e-05
