group,files,f0_median_hz,f0_p10_hz,f0_p90_hz,std_mv_median,band_60_85k_power_median,band_1_30_1_43m_power_median,icd_est_mean,icd_est_median,icd_est_p10,icd_est_p90,icd_est_max,icd_fixed_mean,icd_fixed_median,icd_fixed_p10,icd_fixed_p90,icd_fixed_max
1 采集卡底噪_新位置,24,488000.0,488000.0,503400.0,2.044209425471659,0.0010282398284910624,9.458240491964111e-06,4.8648590767512206e-05,4.9812767363150185e-05,4.38887281991375e-05,5.405605352607758e-05,5.840639697878689e-05,2.9731692799113153e-05,2.998169309683303e-05,2.839551536201752e-05,3.057880471567849e-05,3.166637329359257e-05
10 补测一组功放打开的，用做备用,450,616000.0,488000.0,702200.0,0.3489193934342092,2.111062853472347e-05,1.1372435328729362e-05,4.200842031974074e-05,3.399558260576244e-05,3.0065774167407573e-05,5.907256918421026e-05,0.0001074884190928761,3.434967722519887e-05,3.274259034299559e-05,3.064729260917276e-05,3.501662154779501e-05,8.904729911064355e-05
11 手握住PCD试试看,93,616000.0,488000.0,742000.0,0.6492851325129526,4.196784647540094e-05,3.71494103548468e-05,0.00011169278689349267,0.00011117040984435033,9.566678265838077e-05,0.00012811357673818993,0.00014422258474349102,0.00011034115062029551,0.00011233247160695892,9.418828595398098e-05,0.00012515156210447096,0.00013576449111398604
2 采集卡底噪_新位置_关闭不相干,26,488000.0,488000.0,512000.0,2.047152392936554,0.0009721533730985836,1.0329439465038984e-05,4.8730688350059775e-05,4.8826578754635155e-05,4.245279856092902e-05,5.529656494598724e-05,5.7233546814650016e-05,2.9612391582337337e-05,2.9912734885206122e-05,2.8200634642534757e-05,3.090686388252103e-05,3.119571498947882e-05
3 采集卡接入pcd,336,648000.0,504000.0,750000.0,0.5993920331128546,6.642456980079402e-05,4.412706693533223e-05,0.0005946239280416432,0.00012151165078223383,5.7007837747570274e-05,0.0018991053690398196,0.0054300514960673625,0.0005955681938197171,0.00011428808248427173,5.020024214628936e-05,0.0019013007514308566,0.005807736073826848
4 pcd包裹铜胶带,142,616000.0,488000.0,714000.0,0.5706064244778359,6.362747488213071e-05,3.387071242233699e-05,9.560495900197436e-05,9.29956391592916e-05,7.985656969710011e-05,0.00011493928578128142,0.00013790150553976706,9.320345772756905e-05,9.154543671418483e-05,7.925705358837734e-05,0.00011035554875672638,0.00018481723192789235
5 更改线缆摆放位置,92,614000.0,488000.0,700000.0,0.33637749218562296,1.94462708890913e-05,1.0429545474991424e-05,3.5224369892271814e-05,3.1389264476806246e-05,2.779250843284781e-05,5.3379720703336194e-05,6.38290910218199e-05,2.9999968426313946e-05,2.996524829639923e-05,2.805992125389624e-05,3.188126233702803e-05,3.3227184380676355e-05
6 去掉包裹的铜胶带,106,616000.0,502000.0,704000.0,0.34232087582117043,1.8601296131114673e-05,1.089246842554253e-05,3.4283232642416816e-05,3.117285028996342e-05,2.8453145947123365e-05,4.943106723922581e-05,6.540486068611336e-05,3.1472915944086954e-05,3.145451078715724e-05,2.9845871413946725e-05,3.309149646053182e-05,3.464832799795404e-05
7 下午重新测-包裹铜胶带,65,616000.0,488000.0,726800.0,0.33857662253234005,2.1140456642236127e-05,1.0305691407804447e-05,3.5210281881477554e-05,2.9859953334114748e-05,2.6869920839945314e-05,5.461189258303434e-05,6.250977212456609e-05,2.9992329804616312e-05,2.9768759007317433e-05,2.838460583474021e-05,3.226528599251467e-05,3.396736781272151e-05
8 下午重新测-去掉铜胶带,117,574000.0,488000.0,698800.0,0.34184059547380796,2.1357290925444314e-05,1.052405941389854e-05,4.3826147227978104e-05,3.6983789228937434e-05,2.8837435581414533e-05,6.138584414390501e-05,9.7831646048582e-05,3.316614137425323e-05,3.093403443924939e-05,2.9184426452357443e-05,3.3045021073165964e-05,8.318673801129773e-05
9 重新将线缆摆放位置放回去,417,574000.0,488000.0,702800.0000000001,0.34616955874810745,2.098600052528028e-05,1.0952757357969673e-05,4.1031776342149144e-05,3.412638580962336e-05,2.8988238608564294e-05,5.677063903646675e-05,6.679565524602079e-05,3.186996440207597e-05,3.184578777935364e-05,2.980585189359715e-05,3.384810046613602e-05,3.886650340528075e-05
