cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-12T14:16:38.831,2026-07-12T14:16:39.276,4.5,7,612000,6000,200,1000,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-12T14:16:39.907,2026-07-12T14:16:40.348,4.5,7,612000,6000,200,1000,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-12T14:16:40.903,2026-07-12T14:16:41.330,4.5,7,612000,6000,200,1000,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-12T14:16:41.964,2026-07-12T14:16:42.405,4.5,7,612000,6000,200,1000,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-12T14:16:42.979,2026-07-12T14:16:43.421,4.5,7,612000,6000,200,1000,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-12T14:16:43.990,2026-07-12T14:16:44.431,4.5,7,612000,6000,200,1000,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-12T14:16:45.004,2026-07-12T14:16:45.443,4.5,7,612000,6000,200,1000,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-12T14:16:46.013,2026-07-12T14:16:46.439,4.5,7,612000,6000,200,1000,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-12T14:16:47.073,2026-07-12T14:16:47.512,4.5,7,612000,6000,200,1000,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-12T14:16:48.081,2026-07-12T14:16:48.526,4.5,7,612000,6000,200,1000,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-12T14:16:49.091,2026-07-12T14:16:49.538,4.5,7,612000,6000,200,1000,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-12T14:16:50.108,2026-07-12T14:16:50.550,4.5,7,612000,6000,200,1000,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-12T14:16:51.122,2026-07-12T14:16:51.563,4.5,7,612000,6000,200,1000,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-12T14:16:52.131,2026-07-12T14:16:52.572,4.5,7,612000,6000,200,1000,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-12T14:16:53.142,2026-07-12T14:16:53.587,4.5,7,612000,6000,200,1000,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-12T14:16:54.158,2026-07-12T14:16:54.601,4.5,7,612000,6000,200,1000,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-12T14:16:55.169,2026-07-12T14:16:55.612,4.5,7,612000,6000,200,1000,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-12T14:16:56.182,2026-07-12T14:16:56.626,4.5,7,612000,6000,200,1000,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-12T14:16:57.197,2026-07-12T14:16:57.636,4.5,7,612000,6000,200,1000,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-12T14:16:58.204,2026-07-12T14:16:58.644,4.5,7,612000,6000,200,1000,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-12T14:16:59.215,2026-07-12T14:16:59.655,4.5,7,612000,6000,200,1000,
22,complete,probe/cycle_000022.csv,treatment/cycle_000022.csv,2026-07-12T14:17:00.223,2026-07-12T14:17:00.667,4.5,7,612000,6000,200,1000,
23,complete,probe/cycle_000023.csv,treatment/cycle_000023.csv,2026-07-12T14:17:01.237,2026-07-12T14:17:01.665,4.5,7,612000,6000,200,1000,
24,complete,probe/cycle_000024.csv,treatment/cycle_000024.csv,2026-07-12T14:17:02.298,2026-07-12T14:17:02.728,4.5,7,612000,6000,200,1000,
25,complete,probe/cycle_000025.csv,treatment/cycle_000025.csv,2026-07-12T14:17:03.361,2026-07-12T14:17:03.803,4.5,7,612000,6000,200,1000,
26,complete,probe/cycle_000026.csv,treatment/cycle_000026.csv,2026-07-12T14:17:04.373,2026-07-12T14:17:04.817,4.5,7,612000,6000,200,1000,
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-12T14:17:05.403,2026-07-12T14:17:05.846,4.5,7,612000,6000,200,1000,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-12T14:17:06.417,2026-07-12T14:17:06.843,4.5,7,612000,6000,200,1000,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-12T14:17:07.477,2026-07-12T14:17:07.903,4.5,7,612000,6000,200,1000,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-12T14:17:08.538,2026-07-12T14:17:08.980,4.5,7,612000,6000,200,1000,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-12T14:17:09.548,2026-07-12T14:17:09.991,4.5,7,612000,6000,200,1000,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-12T14:17:10.562,2026-07-12T14:17:11.005,4.5,7,612000,6000,200,1000,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-12T14:17:11.574,2026-07-12T14:17:12.019,4.5,7,612000,6000,200,1000,
