cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-12T17:26:47.307,2026-07-12T17:26:47.759,4.5,7,612000,6000,200,1000,54.1244,9.47607,2,False,0.302525,0,0,not_open,探索性：未达到开窗剂量,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-12T17:26:48.380,2026-07-12T17:26:48.854,4.5,7,612000,6000,200,1000,53.5837,11.877,3,True,1.89401,13.4112,13.4112,not_open,探索性：未达到开窗剂量,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-12T17:26:49.390,2026-07-12T17:26:49.866,4.5,7,612000,6000,200,1000,53.0462,8.04376,2,False,1.96511,0,13.4112,not_open,探索性：未达到开窗剂量,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-12T17:26:50.404,2026-07-12T17:26:50.879,4.5,7,612000,6000,200,1000,55.3924,1.59248,1,False,1.49804,0,13.4112,not_open,探索性：未达到开窗剂量,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-12T17:26:51.401,2026-07-12T17:26:51.857,4.5,7,612000,6000,200,1000,57.2177,10.3884,3,True,1.95561,8.94034,22.3515,open,探索性：达到开窗剂量,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-12T17:26:52.458,2026-07-12T17:26:52.921,4.5,7,612000,6000,200,1000,56.765,6.31841,3,True,2.26865,2.28866,24.6402,open,探索性：达到开窗剂量,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-12T17:26:53.523,2026-07-12T17:26:53.997,4.5,7,612000,6000,200,1000,57.1808,9.04595,2,False,2.3899,0,24.6402,open,探索性：达到开窗剂量,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-12T17:26:54.536,2026-07-12T17:26:55.011,4.5,7,612000,6000,200,1000,54.4159,8.93328,3,True,1.72339,5.82692,30.4671,open,探索性：达到开窗剂量,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-12T17:26:55.549,2026-07-12T17:26:56.023,4.5,7,612000,6000,200,1000,53.68,13.5555,3,True,-0.584301,20.68,51.1471,open,探索性：达到开窗剂量,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-12T17:26:56.567,2026-07-12T17:26:57.041,4.5,7,612000,6000,200,1000,54.9243,2.64713,1,False,3.80574,0,51.1471,open,探索性：达到开窗剂量,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-12T17:26:57.583,2026-07-12T17:26:58.056,4.5,7,612000,6000,200,1000,54.5783,2.12348,0,False,1.09801,0,51.1471,open,探索性：达到开窗剂量,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-12T17:26:58.593,2026-07-12T17:26:59.066,4.5,7,612000,6000,200,1000,54.8943,8.56071,3,True,2.08532,5.18386,56.331,open,探索性：达到开窗剂量,
