cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-12T13:52:48.703,2026-07-12T13:52:49.150,4.5,7,612000,6000,200,1000,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-12T13:52:49.740,2026-07-12T13:52:50.181,4.5,7,612000,6000,200,1000,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-12T13:52:50.751,2026-07-12T13:52:51.192,4.5,7,612000,6000,200,1000,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-12T13:52:51.758,2026-07-12T13:52:52.200,4.5,7,612000,6000,200,1000,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-12T13:52:52.754,2026-07-12T13:52:53.193,4.5,7,612000,6000,200,1000,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-12T13:52:53.823,2026-07-12T13:52:54.264,4.5,7,612000,6000,200,1000,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-12T13:52:54.820,2026-07-12T13:52:55.262,4.5,7,612000,6000,200,1000,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-12T13:52:55.885,2026-07-12T13:52:56.324,4.5,7,612000,6000,200,1000,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-12T13:52:56.890,2026-07-12T13:52:57.335,4.5,7,612000,6000,200,1000,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-12T13:52:57.900,2026-07-12T13:52:58.344,4.5,7,612000,6000,200,1000,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-12T13:52:58.911,2026-07-12T13:52:59.336,4.5,7,612000,6000,200,1000,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-12T13:52:59.970,2026-07-12T13:53:00.407,4.5,7,612000,6000,200,1000,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-12T13:53:00.994,2026-07-12T13:53:01.440,4.5,7,612000,6000,200,1000,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-12T13:53:02.088,2026-07-12T13:53:02.563,4.5,7,612000,6000,200,1000,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-12T13:53:03.070,2026-07-12T13:53:03.516,4.5,7,612000,6000,200,1000,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-12T13:53:04.083,2026-07-12T13:53:04.527,4.5,7,612000,6000,200,1000,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-12T13:53:05.092,2026-07-12T13:53:05.531,4.5,7,612000,6000,200,1000,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-12T13:53:06.103,2026-07-12T13:53:06.530,4.5,7,612000,6000,200,1000,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-12T13:53:07.165,2026-07-12T13:53:07.610,4.5,7,612000,6000,200,1000,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-12T13:53:08.179,2026-07-12T13:53:08.622,4.5,7,612000,6000,200,1000,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-12T13:53:09.191,2026-07-12T13:53:09.637,4.5,7,612000,6000,200,1000,
22,complete,probe/cycle_000022.csv,treatment/cycle_000022.csv,2026-07-12T13:53:10.209,2026-07-12T13:53:10.649,4.5,7,612000,6000,200,1000,
23,complete,probe/cycle_000023.csv,treatment/cycle_000023.csv,2026-07-12T13:53:11.221,2026-07-12T13:53:11.666,4.5,7,612000,6000,200,1000,
24,complete,probe/cycle_000024.csv,treatment/cycle_000024.csv,2026-07-12T13:53:12.236,2026-07-12T13:53:12.679,4.5,7,612000,6000,200,1000,
25,complete,probe/cycle_000025.csv,treatment/cycle_000025.csv,2026-07-12T13:53:13.251,2026-07-12T13:53:13.689,4.5,7,612000,6000,200,1000,
26,complete,probe/cycle_000026.csv,treatment/cycle_000026.csv,2026-07-12T13:53:14.258,2026-07-12T13:53:14.701,4.5,7,612000,6000,200,1000,
27,complete,probe/cycle_000027.csv,treatment/cycle_000027.csv,2026-07-12T13:53:15.271,2026-07-12T13:53:15.716,4.5,7,612000,6000,200,1000,
28,complete,probe/cycle_000028.csv,treatment/cycle_000028.csv,2026-07-12T13:53:16.282,2026-07-12T13:53:16.728,4.5,7,612000,6000,200,1000,
29,complete,probe/cycle_000029.csv,treatment/cycle_000029.csv,2026-07-12T13:53:17.280,2026-07-12T13:53:17.723,4.5,7,612000,6000,200,1000,
30,complete,probe/cycle_000030.csv,treatment/cycle_000030.csv,2026-07-12T13:53:18.355,2026-07-12T13:53:18.793,4.5,7,612000,6000,200,1000,
31,complete,probe/cycle_000031.csv,treatment/cycle_000031.csv,2026-07-12T13:53:19.363,2026-07-12T13:53:19.804,4.5,7,612000,6000,200,1000,
32,complete,probe/cycle_000032.csv,treatment/cycle_000032.csv,2026-07-12T13:53:20.373,2026-07-12T13:53:20.800,4.5,7,612000,6000,200,1000,
33,complete,probe/cycle_000033.csv,treatment/cycle_000033.csv,2026-07-12T13:53:21.434,2026-07-12T13:53:21.877,4.5,7,612000,6000,200,1000,
34,complete,probe/cycle_000034.csv,treatment/cycle_000034.csv,2026-07-12T13:53:22.447,2026-07-12T13:53:22.891,4.5,7,612000,6000,200,1000,
35,complete,probe/cycle_000035.csv,treatment/cycle_000035.csv,2026-07-12T13:53:23.457,2026-07-12T13:53:23.899,4.5,7,612000,6000,200,1000,
36,complete,probe/cycle_000036.csv,treatment/cycle_000036.csv,2026-07-12T13:53:24.471,2026-07-12T13:53:24.918,4.5,7,612000,6000,200,1000,
37,complete,probe/cycle_000037.csv,treatment/cycle_000037.csv,2026-07-12T13:53:25.485,2026-07-12T13:53:25.925,4.5,7,612000,6000,200,1000,
38,complete,probe/cycle_000038.csv,treatment/cycle_000038.csv,2026-07-12T13:53:26.497,2026-07-12T13:53:26.936,4.5,7,612000,6000,200,1000,
39,complete,probe/cycle_000039.csv,treatment/cycle_000039.csv,2026-07-12T13:53:27.504,2026-07-12T13:53:27.948,4.5,7,612000,6000,200,1000,
40,complete,probe/cycle_000040.csv,treatment/cycle_000040.csv,2026-07-12T13:53:28.515,2026-07-12T13:53:28.960,4.5,7,612000,6000,200,1000,
41,complete,probe/cycle_000041.csv,treatment/cycle_000041.csv,2026-07-12T13:53:29.514,2026-07-12T13:53:29.954,4.5,7,612000,6000,200,1000,
42,complete,probe/cycle_000042.csv,treatment/cycle_000042.csv,2026-07-12T13:53:30.592,2026-07-12T13:53:31.032,4.5,7,612000,6000,200,1000,
43,complete,probe/cycle_000043.csv,treatment/cycle_000043.csv,2026-07-12T13:53:31.598,2026-07-12T13:53:32.043,4.5,7,612000,6000,200,1000,
44,complete,probe/cycle_000044.csv,treatment/cycle_000044.csv,2026-07-12T13:53:32.613,2026-07-12T13:53:33.056,4.5,7,612000,6000,200,1000,
45,complete,probe/cycle_000045.csv,treatment/cycle_000045.csv,2026-07-12T13:53:33.619,2026-07-12T13:53:34.061,4.5,7,612000,6000,200,1000,
46,complete,probe/cycle_000046.csv,treatment/cycle_000046.csv,2026-07-12T13:53:34.630,2026-07-12T13:53:35.071,4.5,7,612000,6000,200,1000,
47,complete,probe/cycle_000047.csv,treatment/cycle_000047.csv,2026-07-12T13:53:35.642,2026-07-12T13:53:36.116,4.5,7,612000,6000,200,1000,
48,complete,probe/cycle_000048.csv,treatment/cycle_000048.csv,2026-07-12T13:53:36.685,2026-07-12T13:53:37.126,4.5,7,612000,6000,200,1000,
49,complete,probe/cycle_000049.csv,treatment/cycle_000049.csv,2026-07-12T13:53:37.700,2026-07-12T13:53:38.125,4.5,7,612000,6000,200,1000,
50,complete,probe/cycle_000050.csv,treatment/cycle_000050.csv,2026-07-12T13:53:38.759,2026-07-12T13:53:39.202,4.5,7,612000,6000,200,1000,
51,complete,probe/cycle_000051.csv,treatment/cycle_000051.csv,2026-07-12T13:53:39.769,2026-07-12T13:53:40.215,4.5,7,612000,6000,200,1000,
52,complete,probe/cycle_000052.csv,treatment/cycle_000052.csv,2026-07-12T13:53:40.784,2026-07-12T13:53:41.225,4.5,7,612000,6000,200,1000,
53,complete,probe/cycle_000053.csv,treatment/cycle_000053.csv,2026-07-12T13:53:41.790,2026-07-12T13:53:42.233,4.5,7,612000,6000,200,1000,
54,complete,probe/cycle_000054.csv,treatment/cycle_000054.csv,2026-07-12T13:53:42.800,2026-07-12T13:53:43.242,4.5,7,612000,6000,200,1000,
55,complete,probe/cycle_000055.csv,treatment/cycle_000055.csv,2026-07-12T13:53:43.812,2026-07-12T13:53:44.238,4.5,7,612000,6000,200,1000,
