cycle_id,status,probe_file,treatment_file,probe_captured_at,treatment_captured_at,probe_vpp,treatment_vpp,frequency_hz,burst_cycles,inter_burst_delay_ms,cycle_period_ms,probe_quality_db,uhe_db,uhe_active_band_count,uhe_confirmed,be_db,safe_uhe_increment,cumulative_safe_uhe_dose,decision_state,decision_label,note
1,complete,probe/cycle_000001.csv,treatment/cycle_000001.csv,2026-07-12T17:43:47.549,2026-07-12T17:43:48.024,4.5,7,612000,6000,200,1000,47.7024,5.62918,3,True,5.04113,0,0,risk,存在安全风险,
2,complete,probe/cycle_000002.csv,treatment/cycle_000002.csv,2026-07-12T17:43:48.624,2026-07-12T17:43:49.099,4.5,7,612000,6000,200,1000,47.7168,0.478203,0,False,0.365781,0,0,not_open,未达到开窗剂量,
3,complete,probe/cycle_000003.csv,treatment/cycle_000003.csv,2026-07-12T17:43:49.638,2026-07-12T17:43:50.163,4.5,7,612000,6000,200,1000,47.7373,0.304535,0,False,-0.194076,0,0,not_open,未达到开窗剂量,
4,complete,probe/cycle_000004.csv,treatment/cycle_000004.csv,2026-07-12T17:43:50.698,2026-07-12T17:43:51.169,4.5,7,612000,6000,200,1000,48.0125,-0.264329,0,False,-0.64624,0,0,not_open,未达到开窗剂量,
5,complete,probe/cycle_000005.csv,treatment/cycle_000005.csv,2026-07-12T17:43:51.710,2026-07-12T17:43:52.183,4.5,7,612000,6000,200,1000,47.8784,0.573701,0,False,0.313119,0,0,not_open,未达到开窗剂量,
6,complete,probe/cycle_000006.csv,treatment/cycle_000006.csv,2026-07-12T17:43:52.720,2026-07-12T17:43:53.193,4.5,7,612000,6000,200,1000,48.5265,0.541489,0,False,0.00529404,0,0,not_open,未达到开窗剂量,
7,complete,probe/cycle_000007.csv,treatment/cycle_000007.csv,2026-07-12T17:43:53.733,2026-07-12T17:43:54.189,4.5,7,612000,6000,200,1000,47.0097,1.19128,0,False,-0.125849,0,0,not_open,未达到开窗剂量,
8,complete,probe/cycle_000008.csv,treatment/cycle_000008.csv,2026-07-12T17:43:54.793,2026-07-12T17:43:55.271,4.5,7,612000,6000,200,1000,48.0562,-1.07343,0,False,-0.000111158,0,0,not_open,未达到开窗剂量,
9,complete,probe/cycle_000009.csv,treatment/cycle_000009.csv,2026-07-12T17:43:55.813,2026-07-12T17:43:56.290,4.5,7,612000,6000,200,1000,48.2149,-0.810092,0,False,0.654808,0,0,not_open,未达到开窗剂量,
10,complete,probe/cycle_000010.csv,treatment/cycle_000010.csv,2026-07-12T17:43:56.829,2026-07-12T17:43:57.307,4.5,7,612000,6000,200,1000,48.165,-0.143775,0,False,0.244728,0,0,not_open,未达到开窗剂量,
11,complete,probe/cycle_000011.csv,treatment/cycle_000011.csv,2026-07-12T17:43:57.848,2026-07-12T17:43:58.326,4.5,7,612000,6000,200,1000,47.8288,-0.172053,0,False,-0.322634,0,0,not_open,未达到开窗剂量,
12,complete,probe/cycle_000012.csv,treatment/cycle_000012.csv,2026-07-12T17:43:58.866,2026-07-12T17:43:59.345,4.5,7,612000,6000,200,1000,48.2733,0.79771,0,False,0.00510675,0,0,not_open,未达到开窗剂量,
13,complete,probe/cycle_000013.csv,treatment/cycle_000013.csv,2026-07-12T17:43:59.885,2026-07-12T17:44:00.359,4.5,7,612000,6000,200,1000,47.2996,-3.16817,0,False,-0.819155,0,0,not_open,未达到开窗剂量,
14,complete,probe/cycle_000014.csv,treatment/cycle_000014.csv,2026-07-12T17:44:00.899,2026-07-12T17:44:01.372,4.5,7,612000,6000,200,1000,48.4422,0.558066,0,False,-0.114038,0,0,not_open,未达到开窗剂量,
15,complete,probe/cycle_000015.csv,treatment/cycle_000015.csv,2026-07-12T17:44:01.912,2026-07-12T17:44:02.391,4.5,7,612000,6000,200,1000,48.3785,0.792939,0,False,0.741508,0,0,not_open,未达到开窗剂量,
16,complete,probe/cycle_000016.csv,treatment/cycle_000016.csv,2026-07-12T17:44:02.930,2026-07-12T17:44:03.404,4.5,7,612000,6000,200,1000,47.9614,0.0190725,0,False,0.121518,0,0,not_open,未达到开窗剂量,
17,complete,probe/cycle_000017.csv,treatment/cycle_000017.csv,2026-07-12T17:44:03.946,2026-07-12T17:44:04.424,4.5,7,612000,6000,200,1000,48.1402,0.549816,0,False,0.436439,0,0,not_open,未达到开窗剂量,
18,complete,probe/cycle_000018.csv,treatment/cycle_000018.csv,2026-07-12T17:44:04.964,2026-07-12T17:44:05.440,4.5,7,612000,6000,200,1000,47.7097,0.067976,0,False,-0.786352,0,0,not_open,未达到开窗剂量,
19,complete,probe/cycle_000019.csv,treatment/cycle_000019.csv,2026-07-12T17:44:05.981,2026-07-12T17:44:06.459,4.5,7,612000,6000,200,1000,48.4447,0.0892708,0,False,-0.0189294,0,0,not_open,未达到开窗剂量,
20,complete,probe/cycle_000020.csv,treatment/cycle_000020.csv,2026-07-12T17:44:07.001,2026-07-12T17:44:07.465,4.5,7,612000,6000,200,1000,48.0445,0.950149,1,False,-1.01755,0,0,not_open,未达到开窗剂量,
21,complete,probe/cycle_000021.csv,treatment/cycle_000021.csv,2026-07-12T17:44:08.005,2026-07-12T17:44:08.481,4.5,7,612000,6000,200,1000,47.7598,1.18374,0,False,-0.212616,0,0,not_open,未达到开窗剂量,
