sample_index,raw_code,voltage_mV,sample_rate_hz
0,2048,0.000000,25000000.000
1,2047,-0.488281,25000000.000
2,2047,-0.488281,25000000.000
3,2047,-0.488281,25000000.000
4,2047,-0.488281,25000000.000
5,2048,0.000000,25000000.000
6,2047,-0.488281,25000000.000
7,2047,-0.488281,25000000.000
8,2048,0.000000,25000000.000
9,2048,0.000000,25000000.000
10,2048,0.000000,25000000.000
11,2048,0.000000,25000000.000
12,2048,0.000000,25000000.000
13,2048,0.000000,25000000.000
14,2048,0.000000,25000000.000
15,2047,-0.488281,25000000.000
16,2047,-0.488281,25000000.000
17,2048,0.000000,25000000.000
18,2048,0.000000,25000000.000
19,2048,0.000000,25000000.000
20,2049,0.488281,25000000.000
21,2047,-0.488281,25000000.000
22,2048,0.000000,25000000.000
23,2049,0.488281,25000000.000
24,2048,0.000000,25000000.000
25,2049,0.488281,25000000.000
26,2049,0.488281,25000000.000
27,2049,0.488281,25000000.000
28,2048,0.000000,25000000.000
29,2049,0.488281,25000000.000
30,2049,0.488281,25000000.000
31,2048,0.000000,25000000.000
32,2049,0.488281,25000000.000
33,2049,0.488281,25000000.000
34,2049,0.488281,25000000.000
35,2049,0.488281,25000000.000
36,2049,0.488281,25000000.000
37,2048,0.000000,25000000.000
38,2049,0.488281,25000000.000
39,2048,0.000000,25000000.000
40,2048,0.000000,25000000.000
41,2047,-0.488281,25000000.000
42,2048,0.000000,25000000.000
43,2048,0.000000,25000000.000
44,2047,-0.488281,25000000.000
45,2047,-0.488281,25000000.000
46,2047,-0.488281,25000000.000
47,2047,-0.488281,25000000.000
48,2047,-0.488281,25000000.000
49,2048,0.000000,25000000.000
50,2047,-0.488281,25000000.000
51,2046,-0.976562,25000000.000
52,2048,0.000000,25000000.000
53,2048,0.000000,25000000.000
54,2048,0.000000,25000000.000
55,2048,0.000000,25000000.000
56,2047,-0.488281,25000000.000
57,2048,0.000000,25000000.000
58,2049,0.488281,25000000.000
59,2048,0.000000,25000000.000
60,2049,0.488281,25000000.000
61,2049,0.488281,25000000.000
62,2049,0.488281,25000000.000
63,2049,0.488281,25000000.000
64,2050,0.976562,25000000.000
65,2049,0.488281,25000000.000
66,2049,0.488281,25000000.000
67,2049,0.488281,25000000.000
68,2049,0.488281,25000000.000
69,2050,0.976562,25000000.000
70,2050,0.976562,25000000.000
71,2050,0.976562,25000000.000
72,2050,0.976562,25000000.000
73,2050,0.976562,25000000.000
74,2049,0.488281,25000000.000
75,2049,0.488281,25000000.000
76,2048,0.000000,25000000.000
77,2049,0.488281,25000000.000
78,2049,0.488281,25000000.000
79,2049,0.488281,25000000.000
80,2050,0.976562,25000000.000
81,2049,0.488281,25000000.000
82,2049,0.488281,25000000.000
83,2049,0.488281,25000000.000
84,2049,0.488281,25000000.000
85,2049,0.488281,25000000.000
86,2049,0.488281,25000000.000
87,2049,0.488281,25000000.000
88,2050,0.976562,25000000.000
89,2049,0.488281,25000000.000
90,2050,0.976562,25000000.000
91,2048,0.000000,25000000.000
92,2050,0.976562,25000000.000
93,2050,0.976562,25000000.000
94,2049,0.488281,25000000.000
95,2049,0.488281,25000000.000
96,2049,0.488281,25000000.000
97,2048,0.000000,25000000.000
98,2049,0.488281,25000000.000
99,2048,0.000000,25000000.000
100,2049,0.488281,25000000.000
101,2050,0.976562,25000000.000
102,2049,0.488281,25000000.000
103,2049,0.488281,25000000.000
104,2049,0.488281,25000000.000
105,2049,0.488281,25000000.000
106,2049,0.488281,25000000.000
107,2048,0.000000,25000000.000
108,2049,0.488281,25000000.000
109,2048,0.000000,25000000.000
110,2049,0.488281,25000000.000
111,2049,0.488281,25000000.000
112,2049,0.488281,25000000.000
113,2047,-0.488281,25000000.000
114,2049,0.488281,25000000.000
115,2048,0.000000,25000000.000
116,2048,0.000000,25000000.000
117,2048,0.000000,25000000.000
118,2047,-0.488281,25000000.000
119,2048,0.000000,25000000.000
120,2048,0.000000,25000000.000
121,2047,-0.488281,25000000.000
122,2048,0.000000,25000000.000
123,2047,-0.488281,25000000.000
124,2049,0.488281,25000000.000
125,2051,1.464844,25000000.000
126,2046,-0.976562,25000000.000
127,2050,0.976562,25000000.000
128,2049,0.488281,25000000.000
129,2048,0.000000,25000000.000
130,2047,-0.488281,25000000.000
131,2049,0.488281,25000000.000
132,2049,0.488281,25000000.000
133,2048,0.000000,25000000.000
134,2048,0.000000,25000000.000
135,2048,0.000000,25000000.000
136,2048,0.000000,25000000.000
137,2048,0.000000,25000000.000
138,2048,0.000000,25000000.000
139,2048,0.000000,25000000.000
140,2049,0.488281,25000000.000
141,2048,0.000000,25000000.000
142,2048,0.000000,25000000.000
143,2049,0.488281,25000000.000
144,2048,0.000000,25000000.000
145,2049,0.488281,25000000.000
146,2049,0.488281,25000000.000
147,2047,-0.488281,25000000.000
148,2049,0.488281,25000000.000
149,2048,0.000000,25000000.000
150,2048,0.000000,25000000.000
151,2048,0.000000,25000000.000
152,2048,0.000000,25000000.000
153,2048,0.000000,25000000.000
154,2047,-0.488281,25000000.000
155,2047,-0.488281,25000000.000
156,2048,0.000000,25000000.000
157,2047,-0.488281,25000000.000
158,2048,0.000000,25000000.000
159,2047,-0.488281,25000000.000
160,2047,-0.488281,25000000.000
161,2048,0.000000,25000000.000
162,2046,-0.976562,25000000.000
163,2047,-0.488281,25000000.000
164,2047,-0.488281,25000000.000
165,2048,0.000000,25000000.000
166,2049,0.488281,25000000.000
167,2049,0.488281,25000000.000
168,2048,0.000000,25000000.000
169,2049,0.488281,25000000.000
170,2049,0.488281,25000000.000
171,2049,0.488281,25000000.000
172,2049,0.488281,25000000.000
173,2050,0.976562,25000000.000
174,2051,1.464844,25000000.000
175,2050,0.976562,25000000.000
176,2050,0.976562,25000000.000
177,2050,0.976562,25000000.000
178,2051,1.464844,25000000.000
179,2050,0.976562,25000000.000
180,2050,0.976562,25000000.000
181,2048,0.000000,25000000.000
182,2050,0.976562,25000000.000
183,2049,0.488281,25000000.000
184,2048,0.000000,25000000.000
185,2048,0.000000,25000000.000
186,2048,0.000000,25000000.000
187,2048,0.000000,25000000.000
188,2048,0.000000,25000000.000
189,2047,-0.488281,25000000.000
190,2046,-0.976562,25000000.000
191,2046,-0.976562,25000000.000
192,2046,-0.976562,25000000.000
193,2046,-0.976562,25000000.000
194,2046,-0.976562,25000000.000
195,2045,-1.464844,25000000.000
196,2045,-1.464844,25000000.000
197,2046,-0.976562,25000000.000
198,2045,-1.464844,25000000.000
199,2045,-1.464844,25000000.000
200,2046,-0.976562,25000000.000
201,2046,-0.976562,25000000.000
202,2047,-0.488281,25000000.000
203,2047,-0.488281,25000000.000
204,2048,0.000000,25000000.000
205,2047,-0.488281,25000000.000
206,2047,-0.488281,25000000.000
207,2048,0.000000,25000000.000
208,2049,0.488281,25000000.000
209,2048,0.000000,25000000.000
210,2049,0.488281,25000000.000
211,2049,0.488281,25000000.000
212,2050,0.976562,25000000.000
213,2050,0.976562,25000000.000
214,2050,0.976562,25000000.000
215,2050,0.976562,25000000.000
216,2051,1.464844,25000000.000
217,2050,0.976562,25000000.000
218,2051,1.464844,25000000.000
219,2050,0.976562,25000000.000
220,2050,0.976562,25000000.000
221,2050,0.976562,25000000.000
222,2050,0.976562,25000000.000
223,2050,0.976562,25000000.000
224,2050,0.976562,25000000.000
225,2050,0.976562,25000000.000
226,2049,0.488281,25000000.000
227,2049,0.488281,25000000.000
228,2048,0.000000,25000000.000
229,2049,0.488281,25000000.000
230,2049,0.488281,25000000.000
231,2048,0.000000,25000000.000
232,2047,-0.488281,25000000.000
233,2048,0.000000,25000000.000
234,2047,-0.488281,25000000.000
235,2047,-0.488281,25000000.000
236,2046,-0.976562,25000000.000
237,2046,-0.976562,25000000.000
238,2046,-0.976562,25000000.000
239,2046,-0.976562,25000000.000
240,2046,-0.976562,25000000.000
241,2046,-0.976562,25000000.000
242,2046,-0.976562,25000000.000
243,2046,-0.976562,25000000.000
244,2046,-0.976562,25000000.000
245,2046,-0.976562,25000000.000
246,2047,-0.488281,25000000.000
247,2047,-0.488281,25000000.000
248,2048,0.000000,25000000.000
249,2048,0.000000,25000000.000
250,2048,0.000000,25000000.000
251,2048,0.000000,25000000.000
252,2048,0.000000,25000000.000
253,2049,0.488281,25000000.000
254,2049,0.488281,25000000.000
255,2049,0.488281,25000000.000
256,2049,0.488281,25000000.000
257,2049,0.488281,25000000.000
258,2050,0.976562,25000000.000
259,2051,1.464844,25000000.000
260,2051,1.464844,25000000.000
261,2052,1.953125,25000000.000
262,2050,0.976562,25000000.000
263,2052,1.953125,25000000.000
264,2052,1.953125,25000000.000
265,2051,1.464844,25000000.000
266,2052,1.953125,25000000.000
267,2051,1.464844,25000000.000
268,2051,1.464844,25000000.000
269,2051,1.464844,25000000.000
270,2051,1.464844,25000000.000
271,2050,0.976562,25000000.000
272,2050,0.976562,25000000.000
